ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
ba,2/3/2014,109.2697,111.275,107.9593,108.2495,9342365,9342365,-1.9173,-1.74,108.6308,3-Feb-14,0
ba,2/4/2014,108.2407,108.8828,106.0068,107.3348,9307592,9307592,-0.914686,-0.845,106.7806,4-Feb-14,-0.008449924
ba,2/5/2014,106.4201,107.2469,104.4588,106.772,9691926,9691926,-0.562882,-0.524,105.4225,5-Feb-14,-0.013649024
ba,2/6/2014,107.115,107.9329,106.8687,107.8889,6740580,6740580,1.117,1.046,107.5225,6-Feb-14,-0.003331193
ba,2/7/2014,108.8388,111.8819,108.7508,111.7148,8928435,8928435,3.8259,3.546,108.8499,7-Feb-14,0.032012157
ba,2/10/2014,113.421,113.4298,111.1255,111.8379,8174510,8174510,0.123132,0.11,112.0315,10-Feb-14,0.033149345
ba,2/11/2014,112.2689,114.9426,112.1018,114.4764,7878823,7878823,2.6385,2.359,113.8149,11-Feb-14,0.057523591
ba,2/12/2014,115.237,115.467,113.2116,113.3266,5802666,5802666,-1.1499,-1.004,113.9041,12-Feb-14,0.046901833
ba,2/13/2014,112.3802,114.9274,112.3802,114.5383,4204248,4204248,1.2117,1.069,113.9267,13-Feb-14,0.058095418
ba,2/14/2014,114.1756,115.3431,113.2293,115.122,4813870,4813870,0.583747,0.51,114.4547,14-Feb-14,0.063487591
ba,2/18/2014,115.0955,115.8118,114.6267,115.5377,4653262,4653262,0.415699,0.361,115.3872,18-Feb-14,0.067327794
ba,2/19/2014,115.0778,115.4227,113.5388,113.5565,5149154,5149154,-1.9812,-1.715,114.4365,19-Feb-14,0.049025631
ba,2/20/2014,113.6361,114.9717,112.7782,114.5913,4470511,4470511,1.0348,0.911,114.1013,20-Feb-14,0.058585028
ba,2/21/2014,114.8036,114.8036,113.3089,113.4592,5170064,5170064,-1.1321,-0.988,113.9326,21-Feb-14,0.048126781
ba,2/24/2014,113.5477,115.6881,113.53,114.6179,4638248,4638248,1.1587,1.021,114.8922,24-Feb-14,0.058830757
ba,2/25/2014,114.3614,114.7594,111.6284,112.1325,7317397,7317397,-2.4853,-2.168,112.9572,25-Feb-14,0.035870835
ba,2/26/2014,112.5394,113.1585,111.7611,111.9822,4804395,4804395,-0.150359,-0.134,112.3665,26-Feb-14,0.034482376
ba,2/27/2014,111.8583,113.7069,111.6726,113.7069,4649978,4649978,1.7247,1.54,113.1195,27-Feb-14,0.050415013
ba,2/28/2014,113.8749,114.9364,113.2646,114.0253,4365211,4365211,0.318408,0.28,114.2729,28-Feb-14,0.053356367
ba,3/3/2014,112.4863,113.6007,111.9026,113.4062,4847051,4847051,-0.619126,-0.543,112.4393,3-Mar-14,0.047637172
ba,3/4/2014,114.4321,115.865,114.3879,115.1839,5423308,5423308,1.7778,1.568,115.2816,4-Mar-14,0.064059418
ba,3/5/2014,115.3343,115.6881,113.8219,113.9103,4097125,4097125,-1.2736,-1.106,114.5647,5-Mar-14,0.052294006
ba,3/6/2014,114.1049,114.4233,113.2381,113.9722,3599923,3599923,0.06191,0.054,113.8773,6-Mar-14,0.052865833
ba,3/7/2014,114.7594,115.122,113.2735,113.6892,4301861,4301861,-0.283026,-0.248,114.1185,7-Mar-14,0.050251502
ba,3/10/2014,111.8937,112.5748,110.3459,112.2298,7039871,7039871,-1.4594,-1.284,111.3336,10-Mar-14,0.036769685
ba,3/11/2014,112.3536,112.5659,111.1065,111.1508,4190977,4190977,-1.0791,-0.961,111.7392,11-Mar-14,0.026801971
ba,3/12/2014,110.5582,110.7351,109.5057,110.054,5041992,5041992,-1.0967,-0.987,110.2249,12-Mar-14,0.016669823
ba,3/13/2014,110.2486,111.0977,107.5775,107.8075,6071160,6071160,-2.2465,-2.041,105.372,13-Mar-14,-0.00408316
ba,3/14/2014,108.0109,109.9214,107.8606,108.8865,5702757,5702757,1.079,1.001,110.3352,14-Mar-14,0.005884554
ba,3/17/2014,109.6472,111.2834,109.603,110.9297,4381634,4381634,2.0431,1.876,110.8037,17-Mar-14,0.024759468
ba,3/18/2014,111.08,111.2803,109.373,109.7091,4151560,4151560,-1.2206,-1.1,110.7896,18-Mar-14,0.013483665
ba,3/19/2014,109.9567,110.7351,107.3476,108.1171,6672961,6672961,-1.592,-1.451,106.2749,19-Mar-14,-0.0012231
ba,3/20/2014,108.4266,109.5875,107.3564,109.4349,4601670,4601670,1.3179,1.219,108.7273,20-Mar-14,0.010950628
ba,3/21/2014,109.7268,110.0717,108.347,108.4178,7975403,7975403,-1.0171,-0.929,106.8196,21-Mar-14,0.001554742
ba,3/24/2014,109.258,109.6295,107.9755,109.1607,4476014,4476014,0.742948,0.685,108.8108,24-Mar-14,0.008417591
ba,3/25/2014,110.0806,110.5582,109.2845,109.6914,3229412,3229412,0.53068,0.486,109.7733,25-Mar-14,0.013320154
ba,3/26/2014,110.2132,110.8412,109.0723,109.258,3091527,3091527,-0.433387,-0.395,109.4155,26-Mar-14,0.00931644
ba,3/27/2014,108.7981,109.9391,107.7279,108.975,3116046,3116046,-0.283029,-0.259,107.086,27-Mar-14,0.006702109
ba,3/28/2014,109.4791,110.7262,109.2492,110.0806,2863453,2863453,1.1056,1.015,110.7676,28-Mar-14,0.016915552
ba,3/31/2014,110.8766,111.478,110.3813,110.9916,2962010,2962010,0.911,0.828,111.0535,31-Mar-14,0.025331295
ba,4/1/2014,111.6549,113.5654,111.593,113.3973,3953038,3953038,2.4057,2.168,112.8327,1-Apr-14,0.047554954
ba,4/2/2014,113.7688,113.8891,112.6809,113.4858,2934724,2934724,0.088445,0.078,113.2556,2-Apr-14,0.04837251
ba,4/3/2014,114.2464,114.2464,113.4592,113.9015,3305277,3305277,0.415699,0.366,113.884,3-Apr-14,0.052212712
ba,4/4/2014,114.3879,114.9097,112.5306,112.6632,4157463,4157463,-1.2383,-1.087,113.7464,4-Apr-14,0.040773398
ba,4/7/2014,112.4952,113.3664,110.514,111.08,3753854,3753854,-1.5832,-1.405,111.7594,7-Apr-14,0.026147927
ba,4/8/2014,110.8058,111.2038,109.7268,109.8064,4122171,4122171,-1.2736,-1.147,110.1453,8-Apr-14,0.014382514
ba,4/9/2014,110.5493,112.3448,109.7179,112.221,3691406,3691406,2.4146,2.199,111.3774,9-Apr-14,0.036688391
ba,4/10/2014,112.1679,112.2033,109.3553,109.3553,3959932,3959932,-2.8657,-2.554,109.7964,10-Apr-14,0.01021529
ba,4/11/2014,108.8335,109.1872,107.834,107.9667,3855303,3855303,-1.3886,-1.27,108.3907,11-Apr-14,-0.002612483
ba,4/14/2014,108.86,109.4703,108.064,109.0104,3086264,3086264,1.0437,0.967,108.8455,14-Apr-14,0.007029132
ba,4/15/2014,109.0988,110.1602,108.0198,109.9125,2747116,2747116,0.902157,0.828,109.1576,15-Apr-14,0.015362658
ba,4/16/2014,110.5582,111.478,110.3194,111.478,2826242,2826242,1.5655,1.424,111.0818,16-Apr-14,0.029824618
ba,4/17/2014,111.8318,113.5388,111.2923,113.1408,3449510,3449510,1.6628,1.492,112.9018,17-Apr-14,0.045185428
ba,4/21/2014,113.2558,113.6007,112.6544,113.0524,2368601,2368601,-0.088448,-0.078,113.1792,21-Apr-14,0.044368796
ba,4/22/2014,113.4327,114.211,112.7517,112.8136,5022752,5022752,-0.238805,-0.211,113.7131,22-Apr-14,0.042162781
ba,4/23/2014,115.5731,116.3072,114.3879,115.5377,7123426,7123426,2.7242,2.415,115.1949,23-Apr-14,0.067327794
ba,4/24/2014,115.3431,115.5289,113.5919,114.8567,4177695,4177695,-0.681039,-0.589,114.6183,24-Apr-14,0.061036772
ba,4/25/2014,114.839,114.9805,113.5388,113.7953,2978970,2978970,-1.0614,-0.924,114.0093,25-Apr-14,0.051231645
ba,4/28/2014,113.3885,113.9811,111.2658,112.3625,4354586,4354586,-1.4328,-1.259,112.4999,28-Apr-14,0.037995557
ba,4/29/2014,112.504,113.7157,111.9114,113.5388,3344129,3344129,1.1763,1.047,113.1871,29-Apr-14,0.048862119
ba,4/30/2014,113.2558,114.5383,113.0347,114.1137,2775093,2775093,0.574903,0.506,114.0031,30-Apr-14,0.054172998
ba,5/1/2014,113.8661,114.6267,113.4504,113.6184,2807335,2807335,-0.495302,-0.434,114.0378,1-May-14,0.049597458
ba,5/2/2014,113.8307,115.3343,113.7511,114.9274,3763984,3763984,1.309,1.152,114.9538,2-May-14,0.061689892
ba,5/5/2014,114.096,117.0855,114.0518,116.7141,4026799,4026799,1.7866,1.555,116.2016,5-May-14,0.07819528
ba,5/6/2014,116.5283,116.6787,115.5996,115.7146,4032030,4032030,-0.999448,-0.856,117.228,6-May-14,0.068961981
ba,5/7/2014,116.3106,116.6041,114.9142,115.937,2900669,2900669,0.222386,0.192,115.7027,7-May-14,0.071016494
ba,5/8/2014,115.7769,116.7553,115.7769,116.1327,2988854,2988854,0.195676,0.169,116.2494,8-May-14,0.072824355
ba,5/9/2014,115.8569,116.8086,115.519,116.6041,2544165,2544165,0.471398,0.406,116.3411,9-May-14,0.077179109
ba,5/12/2014,117.2445,118.2851,117.0844,117.9382,3288554,3288554,1.3341,1.144,117.9278,12-May-14,0.089503416
ba,5/13/2014,118.3029,119.0322,118.1695,118.6942,3132290,3132290,0.756013,0.641,118.7559,13-May-14,0.096487282
ba,5/14/2014,119.0055,119.1567,118.0183,118.2851,2884647,2884647,-0.409139,-0.345,118.5823,14-May-14,0.092708049
ba,5/15/2014,118.0272,118.1695,116.1247,116.7019,3597638,3597638,-1.5832,-1.338,116.9842,15-May-14,0.078082578
ba,5/16/2014,116.7909,117.1466,115.6524,116.3461,2964672,2964672,-0.355773,-0.305,116.3761,16-May-14,0.074795727
ba,5/19/2014,115.9993,117.4668,115.937,116.8264,2103213,2103213,0.480291,0.413,116.9271,19-May-14,0.079232699
ba,5/20/2014,116.4618,117.0473,114.7985,115.2521,2996348,2996348,-1.5743,-1.348,115.6295,20-May-14,0.064689444
ba,5/21/2014,116.0082,116.8976,115.6613,116.4796,2476186,2476186,1.2274,1.065,116.4247,21-May-14,0.076028989
ba,5/22/2014,117.1021,117.8315,116.7553,117.2622,2370809,2370809,0.782696,0.672,117.4601,22-May-14,0.083258583
ba,5/23/2014,117.4046,117.9198,117.3423,117.7692,1956559,1956559,0.506976,0.432,119.2144,23-May-14,0.087942208
ba,5/27/2014,118.374,119.3702,118.1784,119.3346,3086912,3086912,1.5654,1.329,119.0243,27-May-14,0.102403244
ba,5/28/2014,119.3346,120.2063,119.3346,119.4769,2609712,2609712,0.142312,0.119,119.7608,28-May-14,0.1037178
ba,5/29/2014,119.8149,120.2507,119.5659,120.1974,2234120,2234120,0.720436,0.603,119.9505,29-May-14,0.11037372
ba,5/30/2014,119.7793,120.4642,119.219,120.2952,2762624,2762624,0.097837,0.081,120.7622,30-May-14,0.111277188
ba,6/2/2014,120.5176,120.989,119.8683,120.8733,2630152,2630152,0.578128,0.481,120.5645,2-Jun-14,0.116617629
ba,6/3/2014,120.7844,121.4337,120.6243,120.8555,2468882,2468882,-0.017788,-0.015,120.9791,3-Jun-14,0.116453194
ba,6/4/2014,120.5531,120.562,119.7082,120.3664,2601922,2601922,-0.489186,-0.405,120.1405,4-Jun-14,0.111934928
ba,6/5/2014,120.651,122.187,120.651,121.6916,3493276,3493276,1.3253,1.101,122.0559,5-Jun-14,0.124177017
ba,6/6/2014,122.1986,122.9635,121.9584,122.9635,2711659,2711659,1.2719,1.045,122.7399,6-Jun-14,0.135926725
ba,6/9/2014,122.9635,123.088,122.2965,122.7055,2585342,2585342,-0.257935,-0.21,122.7047,9-Jun-14,0.133543342
ba,6/10/2014,122.3765,122.5188,121.2202,122.0741,2370554,2370554,-0.631495,-0.515,121.7995,10-Jun-14,0.127710521
ba,6/11/2014,120.2952,120.5442,119.0233,119.2724,5558856,5558856,-2.8017,-2.295,119.3564,11-Jun-14,0.101828646
ba,6/12/2014,119.0589,119.3346,117.0844,117.5735,3831603,3831603,-1.6988,-1.424,117.9703,12-Jun-14,0.086134347
ba,6/13/2014,117.876,118.2495,117.0043,117.6625,2376911,2376911,0.088944,0.076,117.603,13-Jun-14,0.086956522
