ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
cat,2/3/2014,80.263,80.4343,78.7304,79.1328,9085760,9085760,-1.2758,-1.587,78.7326,3-Feb-14,0
cat,2/4/2014,79.1842,79.33,78.3365,79.2013,6839994,6839994,0.068498,0.087,78.2873,4-Feb-14,0.000865633
cat,2/5/2014,78.9787,79.2098,77.9683,78.7389,5134846,5134846,-0.462365,-0.584,78.3716,5-Feb-14,-0.004977708
cat,2/6/2014,78.7218,80.6826,78.5934,80.3401,6864749,6864749,1.6011,2.033,79.9198,6-Feb-14,0.015256632
cat,2/7/2014,80.6312,81.5474,80.3829,81.2305,9665197,9665197,0.89048,1.108,80.7059,7-Feb-14,0.026508603
cat,2/10/2014,81.3162,81.3247,80.1665,80.9137,5933664,5933664,-0.316806,-0.39,80.7144,10-Feb-14,0.022505206
cat,2/11/2014,81.0165,81.633,80.7254,81.3076,6011559,6011559,0.393869,0.487,81.2929,11-Feb-14,0.027482915
cat,2/12/2014,81.6073,82.7461,81.4874,82.3436,8006395,8006395,1.036,1.274,82.3109,12-Feb-14,0.040574831
cat,2/13/2014,81.5902,82.5491,81.436,82.2923,4392208,4392208,-0.051374,-0.062,82.2305,13-Feb-14,0.039926554
cat,2/14/2014,82.0782,82.7803,82.0611,82.669,4232955,4232955,0.376742,0.458,82.545,14-Feb-14,0.044686906
cat,2/18/2014,82.0697,82.9987,82.0697,82.6776,4872883,4872883,0.008562,0.01,82.6296,18-Feb-14,0.044795584
cat,2/19/2014,82.3608,83.628,82.288,82.3779,5868813,5868813,-0.299678,-0.362,82.9241,19-Feb-14,0.04100828
cat,2/20/2014,82.6348,83.4996,81.5987,82.9858,7719564,7719564,0.607921,0.738,82.8622,20-Feb-14,0.048690303
cat,2/21/2014,83.1485,83.8677,82.9858,83.4824,5558694,5558694,0.496614,0.598,83.4916,21-Feb-14,0.05496583
cat,2/24/2014,83.5252,84.116,83.2084,83.3283,4888158,4888158,-0.154121,-0.185,83.7202,24-Feb-14,0.05301847
cat,2/25/2014,82.9173,83.0372,82.044,82.5491,5993094,5993094,-0.779172,-0.935,84.6883,25-Feb-14,0.043171732
cat,2/26/2014,82.7632,83.8335,82.4892,83.2256,4753899,4753899,0.676424,0.819,83.3417,26-Feb-14,0.051720652
cat,2/27/2014,83.2341,83.598,82.6433,82.7974,4340142,4340142,-0.428116,-0.514,82.9693,27-Feb-14,0.046309495
cat,2/28/2014,82.7375,83.4996,82.455,83.0286,5411245,5411245,0.231184,0.279,83.0861,28-Feb-14,0.049231166
cat,3/3/2014,82.4721,82.7718,81.8556,82.4635,4859173,4859173,-0.565113,-0.681,81.9294,3-Mar-14,0.042090006
cat,3/4/2014,83.2256,83.4482,82.6776,83.0714,6264043,6264043,0.607924,0.737,83.0642,4-Mar-14,0.049772029
cat,3/5/2014,82.6605,82.9687,82.0953,82.5149,5384826,5384826,-0.556548,-0.67,82.4883,5-Mar-14,0.042739547
cat,3/6/2014,83.0115,84.039,82.7632,83.5681,6792145,6792145,1.0532,1.276,83.6951,6-Mar-14,0.056048819
cat,3/7/2014,83.7222,83.7992,82.6262,83.0971,5259754,5259754,-0.470926,-0.564,83.0349,7-Mar-14,0.050096799
cat,3/10/2014,82.7461,82.8831,82.0782,82.8403,4693467,4693467,-0.256869,-0.309,82.5916,10-Mar-14,0.046851622
cat,3/11/2014,83.1314,83.8335,82.729,82.9173,5731313,5731313,0.077063,0.093,83.1489,11-Mar-14,0.047824669
cat,3/12/2014,82.455,83.2598,82.455,82.9002,4449489,4449489,-0.017126,-0.021,82.8164,12-Mar-14,0.047608577
cat,3/13/2014,83.2256,83.6794,81.3932,81.8642,8434596,8434596,-1.036,-1.25,77.6441,13-Mar-14,0.034516661
cat,3/14/2014,81.7272,82.4121,81.5131,81.6758,5002348,5002348,-0.188372,-0.23,81.8659,14-Mar-14,0.032135853
cat,3/17/2014,82.1895,82.5833,81.8128,81.9155,4697171,4697171,0.239745,0.294,82.0807,17-Mar-14,0.035164938
cat,3/18/2014,82.3008,82.7546,81.9412,82.5491,4921286,4921286,0.633609,0.773,82.4708,18-Mar-14,0.043171732
cat,3/19/2014,82.2751,82.8146,81.5559,82.2323,5109239,5109239,-0.316804,-0.384,80.2019,19-Mar-14,0.039168335
cat,3/20/2014,81.9498,82.4036,81.4275,82.3779,4396040,4396040,0.145562,0.177,82.2859,20-Mar-14,0.04100828
cat,3/21/2014,83.1143,83.5937,82.7718,83.3882,8340005,8340005,1.0103,1.226,79.0426,21-Mar-14,0.053775426
cat,3/24/2014,83.5681,83.5681,82.5577,82.9259,4811315,4811315,-0.462362,-0.554,82.9586,24-Mar-14,0.047933347
cat,3/25/2014,83.3626,85.0579,83.1828,84.4157,9078108,9078108,1.4898,1.797,84.5544,25-Mar-14,0.066759928
cat,3/26/2014,85.0065,85.2805,83.7393,83.7393,5610221,5610221,-0.676422,-0.801,84.2785,26-Mar-14,0.058212271
cat,3/27/2014,83.7564,84.6726,83.3035,84.2959,4954162,4954162,0.556552,0.665,83.3363,27-Mar-14,0.065246017
cat,3/28/2014,84.6897,85.2976,84.5784,85.1007,5821490,5821490,0.804853,0.955,85.0331,28-Mar-14,0.075416262
cat,3/31/2014,85.623,86.1624,84.8096,85.0836,5772635,5772635,-0.017124,-0.02,85.3372,31-Mar-14,0.07520017
cat,4/1/2014,84.7154,85.6915,84.7154,85.4603,4814850,4814850,0.376743,0.443,85.4461,1-Apr-14,0.079960522
cat,4/2/2014,85.6573,87.9862,85.5203,87.8749,9358065,9358065,2.4146,2.825,87.226,2-Apr-14,0.110473786
cat,4/3/2014,87.267,88.3629,87.0015,87.8064,8230217,8230217,-0.0685,-0.078,87.6852,3-Apr-14,0.109608152
cat,4/4/2014,88.0975,88.5179,87.2584,87.481,4889367,4889367,-0.325365,-0.371,87.7861,4-Apr-14,0.105496077
cat,4/7/2014,87.0015,87.3954,85.9741,86.5734,5224380,5224380,-0.907606,-1.037,86.5753,7-Apr-14,0.09402675
cat,4/8/2014,86.4621,88.4058,86.445,87.6694,6626924,6626924,1.096,1.266,88.4637,8-Apr-14,0.107876885
cat,4/9/2014,87.892,88.3629,87.207,88.1831,4062154,4062154,0.513737,0.586,87.946,9-Apr-14,0.114368505
cat,4/10/2014,88.1146,88.8082,87.3278,87.5581,4540078,4540078,-0.625049,-0.709,87.5904,10-Apr-14,0.106470389
cat,4/11/2014,86.5649,87.4211,86.4536,86.8645,5364269,5364269,-0.693546,-0.792,86.9424,11-Apr-14,0.097705376
cat,4/14/2014,87.4896,88.0461,86.4364,88.0033,4117984,4117984,1.1388,1.311,87.6087,14-Apr-14,0.112096375
cat,4/15/2014,87.8749,88.2688,86.7019,87.7636,6317912,6317912,-0.239745,-0.272,87.5406,15-Apr-14,0.109067289
cat,4/16/2014,88.3837,88.8402,88.0306,88.6507,3801443,3801443,0.88714,1.011,88.5249,16-Apr-14,0.120277559
cat,4/17/2014,88.7541,89.0857,88.3665,88.5646,3556801,3556801,-0.086129,-0.097,88.694,17-Apr-14,0.119189514
cat,4/21/2014,88.6249,88.6938,87.4622,88.401,3821433,3821433,-0.163641,-0.185,88.1107,21-Apr-14,0.117122104
cat,4/22/2014,88.5215,89.6896,88.5043,89.3053,4533389,4533389,0.904336,1.023,90.3434,22-Apr-14,0.128549729
cat,4/23/2014,89.1933,90.1063,88.866,89.0383,6429276,6429276,-0.266996,-0.299,89.3854,23-Apr-14,0.125175654
cat,4/24/2014,91.3121,92.5006,90.2527,90.6747,8854664,8854664,1.6364,1.838,91.2148,24-Apr-14,0.145854816
cat,4/25/2014,90.4594,90.6704,88.9608,90.1666,5731929,5731929,-0.50815,-0.56,89.7037,25-Apr-14,0.139433964
cat,4/28/2014,90.4249,90.7953,88.9263,89.7962,4036278,4036278,-0.370348,-0.411,89.7608,28-Apr-14,0.134753225
cat,4/29/2014,90.2527,90.8642,89.4259,90.6919,4975836,4975836,0.895724,0.998,90.4217,29-Apr-14,0.146072172
cat,4/30/2014,90.6316,91.5015,90.4249,90.7781,5199251,5199251,0.086126,0.095,90.8227,30-Apr-14,0.14716148
cat,5/1/2014,90.6058,91.114,90.1149,90.4938,2972156,2972156,-0.284218,-0.313,90.6445,1-May-14,0.143568786
cat,5/2/2014,90.3733,90.9331,90.201,90.4422,2681072,2681072,-0.051675,-0.057,90.5238,2-May-14,0.142916717
cat,5/5/2014,90.1407,90.2613,89.4086,90.0201,3166362,3166362,-0.422025,-0.467,89.9741,5-May-14,0.137582646
cat,5/6/2014,89.7532,89.9771,89.2278,89.4603,2836263,2836263,-0.559829,-0.622,90.8056,6-May-14,0.130508462
cat,5/7/2014,89.6584,90.1407,89.0814,90.1063,3400839,3400839,0.645958,0.722,89.7009,7-May-14,0.138671954
cat,5/8/2014,90.046,90.4508,89.7015,90.3819,3120874,3120874,0.275606,0.306,90.1958,8-May-14,0.142154707
cat,5/9/2014,90.3991,90.6919,89.8307,90.4852,2761803,2761803,0.10335,0.114,90.332,9-May-14,0.143460108
cat,5/12/2014,91.0451,91.7255,90.9934,91.4671,3664416,3664416,0.981852,1.085,91.4355,12-May-14,0.155868363
cat,5/13/2014,91.7255,93.1982,91.1398,92.2853,3951489,3951489,0.818208,0.895,94.7266,13-May-14,0.166207944
cat,5/14/2014,92.0269,92.1862,91.5532,91.7513,3082382,3082382,-0.533988,-0.579,91.7755,14-May-14,0.159459794
