ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
csco,2/3/2014,18.6718,18.6888,18.2673,18.3482,60696033,60696033,-0.306513,-1.643,18.3985,3-Feb-14,0
csco,2/4/2014,18.3738,18.5781,18.2205,18.5611,46628558,46628558,0.212855,1.16,18.4469,4-Feb-14,0.011603318
csco,2/5/2014,18.4674,18.791,18.3695,18.7143,46307515,46307515,0.153259,0.826,18.6637,5-Feb-14,0.019952911
csco,2/6/2014,18.7654,19.2252,18.7058,19.1486,49598524,49598524,0.434225,2.32,19.1013,6-Feb-14,0.043622808
csco,2/7/2014,19.1741,19.3444,18.9868,19.3018,54150067,54150067,0.153258,0.8,19.2137,7-Feb-14,0.051972401
csco,2/10/2014,19.2763,19.4764,19.2082,19.4381,45305882,45305882,0.136229,0.706,19.4255,10-Feb-14,0.059400922
csco,2/11/2014,19.3955,19.4806,19.3018,19.3359,46197556,46197556,-0.102173,-0.526,19.3912,11-Feb-14,0.053830893
csco,2/12/2014,19.2507,19.5147,19.1741,19.4551,70052969,70052969,0.119199,0.616,19.4238,12-Feb-14,0.060327444
csco,2/13/2014,18.7229,18.9613,18.4547,18.9613,153766718,153766718,-0.493825,-2.538,18.7106,13-Feb-14,0.033414722
csco,2/14/2014,18.9216,19.387,18.9017,19.2082,64580952,64580952,0.246915,1.302,19.2198,14-Feb-14,0.046871083
csco,2/18/2014,19.1486,19.1911,19.0123,19.0805,31033686,31033686,-0.127717,-0.665,19.1039,18-Feb-14,0.039911272
csco,2/19/2014,19.0123,19.2082,18.9187,18.9698,29339087,29339087,-0.110685,-0.58,19.0602,19-Feb-14,0.033877983
csco,2/20/2014,18.9357,19.0719,18.8676,18.9868,26215321,26215321,0.017029,0.09,19.0206,20-Feb-14,0.034804504
csco,2/21/2014,19.0438,19.1145,18.8421,18.8421,31485147,31485147,-0.144743,-0.762,18.9349,21-Feb-14,0.026918172
csco,2/24/2014,18.8931,19.0209,18.7314,18.8335,41861632,41861632,-0.008512,-0.045,18.8633,24-Feb-14,0.026449461
csco,2/25/2014,18.8591,18.9187,18.527,18.5951,45400603,45400603,-0.238401,-1.266,18.6791,25-Feb-14,0.013456361
csco,2/26/2014,18.5951,18.7484,18.3482,18.6718,43575225,43575225,0.076631,0.412,18.5862,26-Feb-14,0.017636607
csco,2/27/2014,18.6292,18.7739,18.6122,18.6633,25804236,25804236,-0.008516,-0.046,18.6802,27-Feb-14,0.017173347
csco,2/28/2014,18.7058,18.825,18.4759,18.5611,40870739,40870739,-0.102173,-0.547,18.6274,28-Feb-14,0.011603318
csco,3/3/2014,18.3653,18.5781,18.2546,18.3653,37291103,37291103,-0.195826,-1.055,18.3438,3-Mar-14,0.000931972
csco,3/4/2014,18.5441,18.6377,18.4759,18.5781,35709590,35709590,0.212855,1.159,18.5781,4-Mar-14,0.012529839
csco,3/5/2014,18.6462,18.7739,18.5696,18.6207,28206193,28206193,0.042572,0.229,18.6662,5-Mar-14,0.014851593
