ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
dwdp,9/1/2017,64.7864,65.4084,63.8145,65.2918,7341133,7341133,65.2918,0,65.092,1-Sep-17,0
dwdp,9/5/2017,65.1363,65.2821,63.1537,63.1537,10832692,10832692,-2.1382,-3.275,63.9612,5-Sep-17,-0.032746838
dwdp,9/6/2017,63.3675,63.4938,62.2109,63.0467,10345913,10345913,-0.10691,-0.169,62.9006,6-Sep-17,-0.034385635
dwdp,9/7/2017,62.7843,63.1245,62.415,62.8621,6382521,6382521,-0.184659,-0.293,62.8678,7-Sep-17,-0.037212943
dwdp,9/8/2017,63.0759,63.3675,62.8232,63.0273,8099999,8099999,0.165222,0.263,63.0539,8-Sep-17,-0.034682763
dwdp,9/11/2017,63.4161,65.2724,63.3675,64.9711,11567033,11567033,1.9438,3.084,64.7781,11-Sep-17,-0.004911796
dwdp,9/12/2017,66.2831,67.3036,65.8951,66.5942,14631020,14631020,1.6231,2.498,66.5325,12-Sep-17,0.019947375
dwdp,9/13/2017,66.9635,67.6438,66.3706,67.5466,9223585,9223585,0.952456,1.43,67.1632,13-Sep-17,0.034534199
dwdp,9/14/2017,67.6438,68.3241,67.2745,68.052,12264841,12264841,0.505383,0.748,67.9909,14-Sep-17,0.042274834
dwdp,9/15/2017,68.2852,68.7129,67.5466,67.8965,32382148,32382148,-0.155503,-0.229,68.0432,15-Sep-17,0.039893218
dwdp,9/18/2017,68.0326,68.3922,67.6632,67.809,7193708,7193708,-0.08747,-0.129,67.9134,18-Sep-17,0.03855308
dwdp,9/19/2017,68.052,68.1395,67.6827,68.0812,6713280,6713280,0.27213,0.401,67.9944,19-Sep-17,0.042722057
dwdp,9/20/2017,68.3047,68.5185,67.7022,68.431,6812432,6812432,0.349883,0.514,68.2269,20-Sep-17,0.048079544
dwdp,9/21/2017,68.431,68.5185,68.1297,68.3436,4450285,4450285,-0.087472,-0.128,68.3292,21-Sep-17,0.046740938
dwdp,9/22/2017,68.1686,68.2561,67.7216,67.9937,4078750,4078750,-0.349881,-0.512,67.9892,22-Sep-17,0.041381919
dwdp,9/25/2017,68.1006,68.4019,67.2648,68.363,6419196,6419196,0.369319,0.543,68.0345,25-Sep-17,0.047038066
dwdp,9/26/2017,68.2852,68.4949,67.3814,67.4008,5244251,5244251,-0.962175,-1.407,67.8009,26-Sep-17,0.032301147
dwdp,9/27/2017,67.566,67.566,66.3512,66.8663,7044021,7044021,-0.534541,-0.793,66.8346,27-Sep-17,0.02411482
dwdp,9/28/2017,66.5164,67.1287,65.8652,67.119,7885679,7885679,0.252692,0.378,66.7862,28-Sep-17,0.027985137
dwdp,9/29/2017,67.0607,67.4591,66.6427,67.2842,5746573,5746573,0.165223,0.246,67.2117,29-Sep-17,0.030515317
dwdp,10/2/2017,67.4494,68.4408,67.2064,68.4408,6044629,6044629,1.1566,1.719,67.8544,2-Oct-17,0.04822964
dwdp,10/3/2017,68.431,68.6351,67.9355,68.3824,6796348,6796348,-0.058313,-0.085,68.271,3-Oct-17,0.047335194
dwdp,10/4/2017,68.5963,68.917,68.4602,68.4699,5999448,5999448,0.087469,0.128,68.6337,4-Oct-17,0.048675331
dwdp,10/5/2017,68.8295,69.0045,68.2658,68.9753,5481589,5481589,0.505386,0.738,68.7184,5-Oct-17,0.056415966
