ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
gs,2/3/2014,154.3253,154.671,149.2979,149.3446,5112315,5112315,-4.0182,-2.62,150.2424,3-Feb-14,0
gs,2/4/2014,150.3539,151.9191,149.3727,151.1575,3366839,3366839,1.8128,1.214,149.6499,4-Feb-14,0.01213904
gs,2/5/2014,150.0642,151.9892,149.8119,149.9053,3238037,3238037,-1.2522,-0.828,149.9192,5-Feb-14,0.003754404
gs,2/6/2014,150.5968,151.3818,149.6064,151.1481,3798525,3798525,1.2428,0.829,150.6972,6-Feb-14,0.012076098
gs,2/7/2014,152.1106,152.2228,149.7651,151.3163,5003902,5003902,0.168202,0.111,149.8327,7-Feb-14,0.013202352
gs,2/10/2014,150.466,151.1668,149.7745,150.4473,4331377,4331377,-0.869044,-0.574,150.4556,10-Feb-14,0.007383595
gs,2/11/2014,150.6435,154.1459,149.8025,153.6151,5034450,5034450,3.1678,2.106,152.4259,11-Feb-14,0.028594941
gs,2/12/2014,153.7179,154.4,152.5311,152.7834,3067337,3067337,-0.831666,-0.541,153.2374,12-Feb-14,0.023025941
gs,2/13/2014,151.8957,153.6244,151.4752,153.3067,3138242,3138242,0.523296,0.343,152.7529,13-Feb-14,0.026529918
gs,2/14/2014,152.6246,153.7179,152.2508,152.989,4221951,4221951,-0.317713,-0.207,152.8588,14-Feb-14,0.024402623
gs,2/18/2014,153.288,154.7365,152.989,153.8581,3425988,3425988,0.86904,0.568,154.0058,18-Feb-14,0.03022205
gs,2/19/2014,153.1666,155.2878,152.2975,152.5592,3730651,3730651,-1.2989,-0.844,153.797,19-Feb-14,0.021524715
gs,2/20/2014,152.7741,154.1571,152.0095,153.7179,2656478,2656478,1.1587,0.76,153.4608,20-Feb-14,0.029283282
gs,2/21/2014,153.531,154.7916,153.3908,153.7179,2601608,2601608,0,0,154.1072,21-Feb-14,0.029283282
gs,2/24/2014,153.3254,156.4372,153.3254,155.6242,3268511,3268511,1.9063,1.24,155.7019,24-Feb-14,0.042047721
gs,2/25/2014,155.2224,155.3999,152.4657,152.7648,3706698,3706698,-2.8594,-1.837,153.9888,25-Feb-14,0.022901397
gs,2/26/2014,153.0741,153.6695,150.7395,152.6428,3987988,3987988,-0.121941,-0.08,151.9753,26-Feb-14,0.022084495
gs,2/27/2014,152.5115,155.4463,152.2115,155.0618,3853776,3853776,2.419,1.585,154.3661,27-Feb-14,0.038281933
gs,2/28/2014,154.5274,157.3496,154.3024,156.0651,4291928,4291928,1.0032,0.647,156.0776,28-Feb-14,0.044999953
gs,3/3/2014,153.9742,154.9962,153.4492,154.4618,3122876,3122876,-1.6033,-1.027,153.6779,3-Mar-14,0.034264379
gs,3/4/2014,156.2432,158.231,155.8307,158.2028,3453120,3453120,3.7411,2.422,157.3455,4-Mar-14,0.059313829
gs,3/5/2014,158.2685,162.1127,157.7529,161.1751,4465314,4465314,2.9722,1.879,160.7262,5-Mar-14,0.079216122
gs,3/6/2014,161.9345,163.144,161.7282,161.8314,3408257,3408257,0.656323,0.407,162.3475,6-Mar-14,0.083610656
gs,3/7/2014,163.1253,164.6348,162.3096,163.3878,4095634,4095634,1.5564,0.962,163.3431,7-Mar-14,0.094032191
gs,3/10/2014,162.769,163.6028,161.7095,162.6846,2191673,2191673,-0.703209,-0.43,162.5213,10-Mar-14,0.089323618
gs,3/11/2014,163.1065,163.1065,159.253,159.2905,3837217,3837217,-3.3941,-2.086,160.5463,11-Mar-14,0.066596984
gs,3/12/2014,158.5779,159.3842,157.3402,159.1311,2565816,2565816,-0.159391,-0.1,158.5845,12-Mar-14,0.065529654
gs,3/13/2014,159.8437,160.5553,156.1776,156.2995,3421385,3421385,-2.8316,-1.779,151.436,13-Mar-14,0.046569478
gs,3/14/2014,156.487,156.9511,154.7337,155.0337,2762052,2762052,-1.2658,-0.81,155.4886,14-Mar-14,0.038093778
gs,3/17/2014,155.9995,158.2685,155.9526,156.4308,3207398,3207398,1.397,0.901,156.8993,17-Mar-14,0.047448652
gs,3/18/2014,156.8339,158.456,156.5901,157.6028,1941251,1941251,1.172,0.749,157.6882,18-Mar-14,0.055296275
gs,3/19/2014,157.9778,159.5436,156.3932,157.6872,3534103,3534103,0.084386,0.054,153.897,19-Mar-14,0.05586141
gs,3/20/2014,157.4059,159.8155,156.8339,158.6623,3950521,3950521,0.975111,0.618,158.6091,20-Mar-14,0.062390605
gs,3/21/2014,159.1029,159.3936,156.4964,156.5339,4795425,4795425,-2.1284,-1.341,153.5373,21-Mar-14,0.048139002
gs,3/24/2014,156.7027,157.4996,154.7993,155.3806,2722989,2722989,-1.1533,-0.737,155.7152,24-Mar-14,0.040416594
gs,3/25/2014,156.1964,156.9746,152.6428,153.0647,4437493,4437493,-2.3159,-1.49,153.9926,25-Mar-14,0.024909505
gs,3/26/2014,154.4618,154.7056,151.6302,151.6396,2597634,2597634,-1.4252,-0.931,152.3336,26-Mar-14,0.015367144
gs,3/27/2014,151.7052,153.121,150.7395,152.1646,3890239,3890239,0.525061,0.346,151.7482,27-Mar-14,0.018882504
gs,3/28/2014,152.0896,153.9461,151.227,152.174,2630486,2630486,0.009381,0.006,152.6221,28-Mar-14,0.018945446
gs,3/31/2014,153.0366,153.8992,152.099,153.6273,2494292,2494292,1.4533,0.955,153.3653,31-Mar-14,0.028676631
gs,4/1/2014,154.4805,155.9151,153.9742,155.5682,3325853,3325853,1.9409,1.263,155.1486,1-Apr-14,0.041672749
gs,4/2/2014,155.5494,157.0871,155.3853,156.8339,2407076,2407076,1.2658,0.814,156.5191,2-Apr-14,0.050147779
gs,4/3/2014,156.8714,157.209,154.7056,155.7275,2337292,2337292,-1.1064,-0.705,155.7159,3-Apr-14,0.042739409
gs,4/4/2014,156.5901,156.6183,152.6897,153.0554,3267440,3267440,-2.6722,-1.716,154.2664,4-Apr-14,0.024847233
gs,4/7/2014,152.7835,153.0179,148.5501,148.6673,4650839,4650839,-4.388,-2.867,149.7543,7-Apr-14,-0.004535149
gs,4/8/2014,148.7986,148.8549,145.7795,146.7921,6844255,6844255,-1.8752,-1.261,146.9688,8-Apr-14,-0.017091344
gs,4/9/2014,147.3078,149.0799,146.6609,148.2923,4009981,4009981,1.5002,1.022,147.8657,9-Apr-14,-0.00704612
gs,4/10/2014,148.5267,148.9674,146.0889,146.2483,4806565,4806565,-2.044,-1.378,146.4171,10-Apr-14,-0.020732588
gs,4/11/2014,144.8138,144.8513,142.1885,143.1917,6461662,6461662,-3.0566,-2.09,143.5078,11-Apr-14,-0.041199347
gs,4/14/2014,145.1419,145.449,143.848,145.0857,3053683,3053683,1.894,1.323,144.6613,14-Apr-14,-0.028517268
gs,4/15/2014,145.3295,146.2858,143.5481,145.2545,3639593,3639593,0.168771,0.116,144.6941,15-Apr-14,-0.027386996
gs,4/16/2014,146.5859,147.4766,145.442,147.4109,3196346,3196346,2.1565,1.485,146.5163,16-Apr-14,-0.012947907
gs,4/17/2014,150.9832,151.3677,147.5328,147.6172,4526106,4526106,0.206277,0.14,148.7684,17-Apr-14,-0.011566538
gs,4/21/2014,147.6735,148.3954,146.4827,147.9548,4551711,4551711,0.337539,0.229,147.8385,21-Apr-14,-0.009305994
gs,4/22/2014,147.8047,150.777,147.4578,150.4488,4547285,4547285,2.494,1.686,149.8741,22-Apr-14,0.007393639
gs,4/23/2014,150.2613,150.8989,149.3424,150.4394,2040561,2040561,-0.009375,-0.006,150.2446,23-Apr-14,0.007330697
gs,4/24/2014,150.9926,151.9959,150.5707,150.8145,2934201,2934201,0.375045,0.249,151.2664,24-Apr-14,0.009842338
gs,4/25/2014,150.4676,150.7395,148.0579,148.3673,3302143,3302143,-2.4472,-1.623,148.6923,25-Apr-14,-0.006543926
gs,4/28/2014,148.7049,148.9204,144.3918,146.7734,3897822,3897822,-1.5939,-1.074,146.2874,28-Apr-14,-0.017216558
gs,4/29/2014,147.2328,148.4986,146.8671,148.3673,2160500,2160500,1.5939,1.086,148.0719,29-Apr-14,-0.006543926
gs,4/30/2014,148.4986,150.355,148.3204,149.8487,2745673,2745673,1.4814,0.998,149.4515,30-Apr-14,0.003375415
gs,5/1/2014,149.83,150.9551,149.7362,150.3644,2079547,2079547,0.515688,0.344,150.3931,1-May-14,0.006828503
gs,5/2/2014,150.4488,151.7427,148.6767,148.9674,2562493,2562493,-1.397,-0.929,149.6595,2-May-14,-0.002525702
gs,5/5/2014,146.7359,147.1109,144.8794,146.5952,3016295,3016295,-2.3722,-1.592,146.314,5-May-14,-0.018409772
gs,5/6/2014,146.1264,146.1264,144.5606,144.8982,3073107,3073107,-1.6971,-1.158,146.3828,6-May-14,-0.029772754
gs,5/7/2014,145.7139,146.5577,144.1199,145.817,3261095,3261095,0.918858,0.634,145.8157,7-May-14,-0.023620539
gs,5/8/2014,146.042,148.3486,145.517,147.5797,2719646,2719646,1.7627,1.209,147.4406,8-May-14,-0.011817635
gs,5/9/2014,147.7391,148.0485,145.967,147.3922,2637013,2637013,-0.187524,-0.127,147.1115,9-May-14,-0.013073121
gs,5/12/2014,148.0579,149.9706,148.0579,149.5956,2256120,2256120,2.2034,1.495,149.3711,12-May-14,0.001680677
gs,5/13/2014,149.605,150.8604,149.2018,150.28,1901488,1901488,0.684452,0.458,150.2659,13-May-14,0.006263367
gs,5/14/2014,150.205,150.852,149.3424,149.5018,2136155,2136155,-0.778215,-0.518,149.8594,14-May-14,0.001052599
gs,5/15/2014,148.7892,149.0424,146.1921,146.8671,2769269,2769269,-2.6347,-1.762,146.9029,15-May-14,-0.01658915
gs,5/16/2014,145.9014,147.1765,145.1823,146.6702,2846085,2846085,-0.196897,-0.134,146.2809,16-May-14,-0.017907578
gs,5/19/2014,146.5015,148.1329,146.2764,147.8329,1618048,1618048,1.1626,0.793,147.7001,19-May-14,-0.010122227
gs,5/20/2014,147.6547,148.0579,145.9014,146.5952,2034911,2034911,-1.2376,-0.837,146.7398,20-May-14,-0.018409772
gs,5/21/2014,147.3547,149.7831,147.3266,149.4081,4226325,4226325,2.8128,1.919,149.3126,21-May-14,0.000425191
gs,5/22/2014,149.033,150.2988,148.7517,149.8769,1645058,1645058,0.468807,0.314,149.9299,22-May-14,0.00356424
gs,5/23/2014,149.9331,150.4676,149.5579,150.1675,1214453,1214453,0.290658,0.194,150.0501,23-May-14,0.005510075
gs,5/27/2014,151.0676,153.2335,150.5613,151.6771,3256763,3256763,1.5096,1.005,151.9845,27-May-14,0.015618241
gs,5/28/2014,151.3854,152.044,150.3223,151.6489,1859886,1859886,-0.028204,-0.019,151.2151,28-May-14,0.015429416
gs,5/29/2014,151.6018,152.4109,150.1727,151.2255,1779171,1779171,-0.423366,-0.279,151.2054,29-May-14,0.012594362
gs,5/30/2014,150.9244,151.1314,149.739,150.3506,2234936,2234936,-0.874952,-0.579,150.5383,30-May-14,0.006736099
gs,6/2/2014,150.3223,150.7175,148.563,150.5575,2162512,2162512,0.206976,0.138,149.7386,2-Jun-14,0.008121485
gs,6/3/2014,150.3882,152.3451,149.8519,152.2228,2408640,2408640,1.6652,1.106,151.4874,3-Jun-14,0.019272207
gs,6/4/2014,151.8841,153.0977,151.3384,152.7778,2098405,2098405,0.555076,0.365,152.5269,4-Jun-14,0.022988444
gs,6/5/2014,153.0883,153.7563,151.997,152.9566,1861574,1861574,0.178757,0.117,152.1684,5-Jun-14,0.024185675
gs,6/6/2014,153.2576,156.4188,153.2576,156.3529,3478086,3478086,3.3963,2.22,155.624,6-Jun-14,0.04692704
gs,6/9/2014,156.2118,156.9832,155.8355,156.1742,2377485,2377485,-0.178751,-0.114,156.3177,9-Jun-14,0.045730478
gs,6/10/2014,156.0424,157.3596,155.6849,156.5128,1692482,1692482,0.338688,0.217,156.4974,10-Jun-14,0.047997718
gs,6/11/2014,155.318,156.3247,154.9417,155.6379,2004076,2004076,-0.874951,-0.559,155.6022,11-Jun-14,0.042139455
gs,6/12/2014,155.9484,156.7857,155.2522,156.1365,2309882,2309882,0.498631,0.32,156.1486,12-Jun-14,0.045478042
gs,6/13/2014,156.3341,157.1808,155.6285,156.0707,1761060,1761060,-0.065861,-0.042,156.2739,13-Jun-14,0.04503745
gs,6/16/2014,155.7226,156.6728,154.7159,156.033,1756421,1756421,-0.037627,-0.024,155.8935,16-Jun-14,0.044785014
gs,6/17/2014,155.8355,158.7614,155.6567,158.2627,2450024,2450024,2.2297,1.429,157.9783,17-Jun-14,0.059714914
gs,6/18/2014,157.9523,160.0315,157.3878,159.8057,2876387,2876387,1.5429,0.975,159.1648,18-Jun-14,0.070046724
