ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
hd,2/3/2014,68.828,68.9088,67.2923,67.436,9527573,9527573,-1.5806,-2.29,67.4561,3-Feb-14,0
hd,2/4/2014,67.8132,68.1185,66.6098,67.3282,9573497,9573497,-0.107768,-0.16,66.7527,4-Feb-14,-0.001598553
hd,2/5/2014,67.1127,67.8446,66.4212,67.5887,10093459,10093459,0.260439,0.387,66.7464,5-Feb-14,0.002264369
hd,2/6/2014,67.5258,68.4329,67.5079,68.3969,6107248,6107248,0.808261,1.196,68.2267,6-Feb-14,0.014249066
hd,2/7/2014,68.4059,68.7921,68.1185,68.6574,6223667,6223667,0.260439,0.381,68.0363,7-Feb-14,0.018111988
hd,2/10/2014,68.7562,68.7831,68.1455,68.6215,6343591,6343591,-0.035922,-0.052,68.4844,10-Feb-14,0.017579631
hd,2/11/2014,68.6484,69.1423,68.4059,68.8819,6293074,6293074,0.260442,0.38,68.8576,11-Feb-14,0.02144107
hd,2/12/2014,69.0705,69.4477,68.855,69.4028,7346941,7346941,0.520879,0.756,69.1181,12-Feb-14,0.029165431
hd,2/13/2014,69.4567,69.9285,69.0974,69.6812,6587379,6587379,0.278404,0.401,69.6071,13-Feb-14,0.03329379
hd,2/14/2014,69.8249,70.1661,69.4387,69.9865,4754671,4754671,0.305341,0.438,69.8854,14-Feb-14,0.037821045
hd,2/18/2014,69.9775,70.1212,69.2142,69.6632,4954868,4954868,-0.323302,-0.462,69.6345,18-Feb-14,0.03302687
hd,2/19/2014,69.3758,69.6183,68.6125,68.6574,7768088,7768088,-1.0058,-1.444,68.9033,19-Feb-14,0.018111988
hd,2/20/2014,68.7831,69.6542,68.7382,69.5824,5852270,5852270,0.925015,1.347,69.3494,20-Feb-14,0.031828697
hd,2/21/2014,69.4746,70.0853,69.4746,69.8159,7765502,7765502,0.233496,0.336,69.8432,21-Feb-14,0.035291239
hd,2/24/2014,69.9057,70.2739,69.5644,69.9326,11743785,11743785,0.116747,0.167,69.8881,24-Feb-14,0.037021769
hd,2/25/2014,71.5581,72.7436,71.2438,72.7256,13425902,13425902,2.793,3.994,71.9409,25-Feb-14,0.078438816
hd,2/26/2014,72.7346,74.2793,72.555,73.3722,9737916,9737916,0.646608,0.889,73.5808,26-Feb-14,0.088027166
hd,2/27/2014,73.3363,73.8213,72.3934,73.6147,6041528,6041528,0.24248,0.33,73.4379,27-Feb-14,0.091623169
hd,2/28/2014,73.5429,74.6295,73.0938,73.6686,7239956,7239956,0.053884,0.073,73.8336,28-Feb-14,0.092422445
hd,3/3/2014,72.5011,73.6685,72.4023,73.6417,8359542,8359542,-0.026942,-0.037,72.9295,3-Mar-14,0.092023548
hd,3/4/2014,74.441,74.7194,74.2793,74.423,6368258,6368258,0.781319,1.061,74.5104,4-Mar-14,0.103609348
hd,3/5/2014,74.4589,74.7194,74.1581,74.4589,5071030,5071030,0.035923,0.048,74.4474,5-Mar-14,0.104141705
hd,3/6/2014,74.3422,74.441,73.8482,74.0099,6174796,6174796,-0.449034,-0.603,74.2342,6-Mar-14,0.09748354
hd,3/7/2014,74.1895,74.2434,73.6776,74.1356,5288531,5288531,0.12573,0.17,74.0235,7-Mar-14,0.09934753
hd,3/10/2014,74.0368,74.1266,73.3992,73.8033,4139181,4139181,-0.332285,-0.448,73.7237,10-Mar-14,0.094419894
hd,3/11/2014,73.7852,73.9297,73.2072,73.424,4667987,4667987,-0.37937,-0.514,73.5016,11-Mar-14,0.088795302
hd,3/12/2014,72.9181,73.0265,72.4756,72.7646,7048929,7048929,-0.659363,-0.898,72.677,12-Mar-14,0.079017142
hd,3/13/2014,73.2162,73.2162,71.1026,71.1749,7665899,7665899,-1.5897,-2.185,68.7869,13-Mar-14,0.05544368
hd,3/14/2014,71.193,72.1504,71.1659,71.6988,6739016,6739016,0.523876,0.736,71.74,14-Mar-14,0.063212527
hd,3/17/2014,71.8704,72.4259,71.5814,71.8794,5547699,5547699,0.180647,0.252,71.8619,17-Mar-14,0.065890622
hd,3/18/2014,71.9426,72.7646,71.9155,72.0962,5032641,5032641,0.216776,0.302,72.2961,18-Mar-14,0.069105522
hd,3/19/2014,72.2317,72.6968,71.7168,72.033,6568371,6568371,-0.063227,-0.088,70.6777,19-Mar-14,0.068168337
hd,3/20/2014,71.9968,72.4756,71.7801,72.3401,5097855,5097855,0.3071,0.426,72.2615,20-Mar-14,0.072722285
hd,3/21/2014,72.9633,73.9749,72.4846,72.6381,10086173,10086173,0.298065,0.412,70.7711,21-Mar-14,0.07714129
hd,3/24/2014,72.6291,72.6743,71.5362,71.9517,7574336,7574336,-0.686456,-0.945,71.951,24-Mar-14,0.06696275
hd,3/25/2014,72.3039,72.3401,71.5,71.7801,5375497,5375497,-0.171614,-0.239,71.7628,25-Mar-14,0.064418115
hd,3/26/2014,71.7981,72.0601,71.0846,71.2381,6365519,6365519,-0.541941,-0.755,71.3953,26-Mar-14,0.056380865
hd,3/27/2014,71.0213,71.3736,70.7865,71.0665,5803263,5803263,-0.171616,-0.241,70.863,27-Mar-14,0.05383623
hd,3/28/2014,71.2833,71.8072,70.8949,71.1026,5132693,5132693,0.036131,0.051,71.2791,28-Mar-14,0.054371552
hd,3/31/2014,71.5452,71.6536,71.211,71.473,5736200,5736200,0.370325,0.521,71.421,31-Mar-14,0.059864168
hd,4/1/2014,71.5723,72.5207,71.5723,71.6988,6697949,6697949,0.22581,0.316,71.965,1-Apr-14,0.063212527
hd,4/2/2014,71.8433,72.9452,71.7936,72.2136,6611747,6611747,0.514843,0.718,73.4586,2-Apr-14,0.070846432
hd,4/3/2014,72.2136,72.2768,71.3375,71.7168,5505760,5505760,-0.49678,-0.688,71.8045,3-Apr-14,0.063479447
hd,4/4/2014,71.9336,71.9878,70.8949,71.1026,6422052,6422052,-0.614198,-0.856,71.313,4-Apr-14,0.054371552
hd,4/7/2014,71.0755,71.0755,69.5762,69.6665,11121603,11121603,-1.4361,-2.02,69.931,7-Apr-14,0.033075805
hd,4/8/2014,69.4678,69.9465,69.0252,69.6484,7372045,7372045,-0.018063,-0.026,69.6479,8-Apr-14,0.032807403
hd,4/9/2014,69.7659,70.3891,69.6755,70.2355,8028618,8028618,0.587101,0.843,70.1097,9-Apr-14,0.041513435
hd,4/10/2014,70.1091,70.651,69.2781,69.3504,6208182,6208182,-0.885169,-1.26,69.2949,10-Apr-14,0.028388398
hd,4/11/2014,69.2058,69.6033,68.3297,68.3749,8399700,8399700,-0.975492,-1.407,68.8,11-Apr-14,0.013922831
hd,4/14/2014,68.9168,69.4226,68.2033,68.6187,8677247,8677247,0.243871,0.357,68.7703,14-Apr-14,0.01753811
hd,4/15/2014,68.9078,69.0071,67.3903,68.5465,7022954,7022954,-0.072258,-0.105,68.1449,15-Apr-14,0.016467465
hd,4/16/2014,69.0252,69.1697,68.4652,69.1697,6104717,6104717,0.623232,0.909,68.8801,16-Apr-14,0.02570882
hd,4/17/2014,68.8807,70.1633,68.5646,69.6304,6875585,6875585,0.46065,0.666,69.6358,17-Apr-14,0.032540483
hd,4/21/2014,70.7684,70.7684,70.1542,70.4162,6254150,6254150,0.785815,1.129,70.4331,21-Apr-14,0.044193013
hd,4/22/2014,71.1207,72.4665,71.0213,71.9607,11189099,11189099,1.5445,2.193,72.0159,22-Apr-14,0.06709621
hd,4/23/2014,72.1414,72.3039,70.8498,70.922,7497133,7497133,-1.0387,-1.443,71.3032,23-Apr-14,0.051693458
hd,4/24/2014,71.3284,72.0872,71.1026,72.051,7275948,7275948,1.129,1.592,71.6334,24-Apr-14,0.068435257
hd,4/25/2014,71.7259,71.9878,71.3826,71.6988,6381366,6381366,-0.352261,-0.489,71.7465,25-Apr-14,0.063212527
hd,4/28/2014,71.8343,73.2975,71.6536,72.4123,14562447,14562447,0.713557,0.995,72.4175,28-Apr-14,0.07379293
hd,4/29/2014,72.5478,72.5478,71.8252,71.8252,5147142,5147142,-0.587105,-0.811,71.9945,29-Apr-14,0.065086897
hd,4/30/2014,72.0239,72.0239,71.1117,71.8162,8529063,8529063,-0.009032,-0.013,71.6978,30-Apr-14,0.064953437
hd,5/1/2014,71.8162,71.9426,71.3104,71.6536,3936731,3936731,-0.162582,-0.226,71.5942,1-May-14,0.062542262
