ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
ibm,2/3/2014,147.6413,147.6413,144.8734,145.0244,7187767,7187767,-3.1706,-2.139,144.8691,3-Feb-14,0
ibm,2/4/2014,145.5528,145.7373,144.5714,144.974,4351180,4351180,-0.050327,-0.035,144.057,4-Feb-14,-0.000347528
ibm,2/5/2014,144.4288,146.7606,144.4288,146.1483,4714375,4714375,1.1743,0.81,145.4675,5-Feb-14,0.00774973
ibm,2/6/2014,146.7218,147.4639,146.57,147.3121,4292478,4292478,1.1638,0.796,147.1182,6-Feb-14,0.015774587
ibm,2/7/2014,148.1302,149.7495,147.6495,149.488,4725647,4725647,2.1759,1.477,146.94,7-Feb-14,0.030778269
ibm,2/10/2014,149.2519,149.8254,148.6447,149.3953,3544486,3544486,-0.092773,-0.062,149.4656,10-Feb-14,0.030139066
ibm,2/11/2014,149.117,152.1362,149.1085,151.5543,4654207,4654207,2.159,1.445,151.3929,11-Feb-14,0.045026216
ibm,2/12/2014,151.4025,152.8615,151.1832,152.0097,3984148,3984148,0.455423,0.301,152.3524,12-Feb-14,0.048166378
ibm,2/13/2014,150.3061,153.7977,150.0025,153.3591,4482761,4482761,1.3494,0.888,152.7817,13-Feb-14,0.057471019
ibm,2/14/2014,152.87,155.5435,152.6423,154.9194,4665873,4665873,1.5602,1.017,154.8373,14-Feb-14,0.068229898
ibm,2/18/2014,154.4892,155.1808,153.7639,154.4977,4435484,4435484,-0.421687,-0.272,154.7188,18-Feb-14,0.065322111
ibm,2/19/2014,154.1182,156.5724,153.8398,154.2953,4671705,4671705,-0.202412,-0.131,155.1941,19-Feb-14,0.063926484
ibm,2/20/2014,154.3037,155.906,154.1603,155.4001,4968267,4968267,1.1048,0.716,159.1695,20-Feb-14,0.071544513
ibm,2/21/2014,155.3917,156.623,154.017,154.1603,5699331,5699331,-1.2398,-0.798,154.9378,21-Feb-14,0.062995606
ibm,2/24/2014,154.1856,156.1591,154.1856,154.717,4595312,4595312,0.556628,0.361,155.3312,24-Feb-14,0.066834271
ibm,2/25/2014,154.776,155.6868,154.2362,154.5314,3902332,3902332,-0.185543,-0.12,154.7141,25-Feb-14,0.065554486
ibm,2/26/2014,155.1302,156.2603,154.8097,155.2314,3740884,3740884,0.699999,0.453,155.639,26-Feb-14,0.07038126
ibm,2/27/2014,155.0374,156.8254,155.0206,156.2519,3827965,3827965,1.0205,0.657,156.2251,27-Feb-14,0.077418007
ibm,2/28/2014,156.3447,156.9688,154.8856,156.1676,4668452,4668452,-0.084339,-0.054,156.2263,28-Feb-14,0.076836725
ibm,3/3/2014,154.6158,155.7206,154.1856,155.4001,3950114,3950114,-0.767469,-0.491,154.0021,3-Mar-14,0.071544513
ibm,3/4/2014,156.7073,157.8459,156.5977,157.2386,4734235,4734235,1.8386,1.183,157.3601,4-Mar-14,0.08422169
ibm,3/5/2014,157.3483,158.5121,157.2049,157.829,3487359,3487359,0.590364,0.375,157.9195,5-Mar-14,0.088292729
ibm,3/6/2014,158.023,158.8832,157.6266,158.2507,3817529,3817529,0.421684,0.267,158.5126,6-Mar-14,0.091200515
ibm,3/7/2014,158.8495,159.3302,157.8627,158.2844,4117826,4117826,0.033737,0.021,158.6155,7-Mar-14,0.09143289
ibm,3/10/2014,158.1748,158.8664,156.7402,157.1965,4594054,4594054,-1.0879,-0.687,157.4829,10-Mar-14,0.083931394
ibm,3/11/2014,158.0567,158.9338,156.9013,157.5085,4229679,4229679,0.312046,0.199,157.7857,11-Mar-14,0.086082756
ibm,3/12/2014,156.876,158.0905,156.7748,157.0531,4833158,4833158,-0.455424,-0.289,157.2429,12-Mar-14,0.082942594
ibm,3/13/2014,157.2133,157.7109,154.9362,155.0965,4913208,4913208,-1.9566,-1.246,145.9679,13-Mar-14,0.069451072
ibm,3/14/2014,155.088,155.4254,153.6712,153.6712,5490326,5490326,-1.4253,-0.919,154.4105,14-Mar-14,0.05962307
ibm,3/17/2014,154.0507,157.1627,154.0507,156.7073,4938754,4938754,3.0361,1.976,156.4038,17-Mar-14,0.080558168
ibm,3/18/2014,156.8591,158.47,156.4796,157.5507,3961319,3961319,0.843371,0.538,157.7634,18-Mar-14,0.086373741
ibm,3/19/2014,156.5302,157.4579,154.7592,155.7796,4323930,4323930,-1.7711,-1.124,152.7062,19-Mar-14,0.074161314
