ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
intc,2/3/2014,21.171,21.1796,20.6438,20.6957,52928170,52928170,-0.509828,-2.404,20.876,3-Feb-14,0
intc,2/4/2014,20.7303,20.7691,20.376,20.5834,50888089,50888089,-0.112336,-0.543,20.5756,4-Feb-14,-0.005426248
intc,2/5/2014,20.675,20.7273,20.5005,20.5179,32484587,32484587,-0.065424,-0.318,20.6871,5-Feb-14,-0.008591157
intc,2/6/2014,20.5877,21.0065,20.5441,20.9279,28049363,28049363,0.410009,1.998,20.8851,6-Feb-14,0.011219722
intc,2/7/2014,21.1111,21.1635,20.736,21.1155,30885856,30885856,0.18756,0.896,20.9972,7-Feb-14,0.020284407
intc,2/10/2014,21.0326,21.2594,20.989,21.1897,24571791,24571791,0.074149,0.351,21.1424,10-Feb-14,0.023869693
intc,2/11/2014,21.242,21.3859,21.2245,21.3467,17947958,17947958,0.157026,0.741,21.3278,11-Feb-14,0.03145581
intc,2/12/2014,21.3816,21.5386,21.2594,21.4165,25925263,25925263,0.069788,0.327,21.4201,12-Feb-14,0.034828491
intc,2/13/2014,21.3118,21.5822,21.2071,21.5473,22940043,22940043,0.130854,0.611,21.4661,13-Feb-14,0.041148644
intc,2/14/2014,21.4383,21.5997,21.2943,21.5953,20592672,20592672,0.047977,0.223,21.4925,14-Feb-14,0.043467967
intc,2/18/2014,21.5211,21.6171,21.4165,21.5997,17749250,17749250,0.004365,0.02,21.5579,18-Feb-14,0.043680571
intc,2/19/2014,21.5037,21.5648,21.3031,21.3728,25743616,25743616,-0.226815,-1.05,21.4277,19-Feb-14,0.032716941
intc,2/20/2014,21.4077,21.6782,21.3728,21.5822,20230664,20230664,0.209367,0.98,21.5855,20-Feb-14,0.042834985
intc,2/21/2014,21.7654,21.7741,21.242,21.3031,30617671,30617671,-0.279155,-1.293,21.4416,21-Feb-14,0.029349092
intc,2/24/2014,21.3816,21.7043,21.2943,21.4863,24173569,24173569,0.183193,0.86,21.5632,24-Feb-14,0.038201172
intc,2/25/2014,21.5211,21.556,21.338,21.4775,21613463,21613463,-0.008721,-0.041,21.4318,25-Feb-14,0.037775963
intc,2/26/2014,21.5822,21.7916,21.4688,21.6346,19820163,19820163,0.157025,0.731,21.6842,26-Feb-14,0.045366912
intc,2/27/2014,21.6346,21.6346,21.3816,21.5997,20866873,20866873,-0.034894,-0.161,21.4979,27-Feb-14,0.043680571
intc,2/28/2014,21.6258,21.6738,21.4339,21.5997,23483725,23483725,0,0,21.575,28-Feb-14,0.043680571
intc,3/3/2014,21.4165,21.4514,21.1984,21.3728,25727231,25727231,-0.226815,-1.05,21.3336,3-Mar-14,0.032716941
intc,3/4/2014,21.5648,21.6171,21.3728,21.4688,23714667,23714667,0.095959,0.449,21.4708,4-Mar-14,0.037355586
intc,3/5/2014,21.5473,21.556,21.2856,21.3728,21071351,21071351,-0.095959,-0.447,21.3955,5-Mar-14,0.032716941
intc,3/6/2014,21.4339,21.5037,21.2682,21.4863,22416271,22416271,0.113405,0.531,21.4123,6-Mar-14,0.038201172
intc,3/7/2014,21.5473,21.6783,21.4339,21.495,25380925,25380925,0.008727,0.041,21.547,7-Mar-14,0.038621549
intc,3/10/2014,21.4686,21.7131,21.4426,21.6695,24945279,24945279,0.174471,0.812,21.6247,10-Mar-14,0.047053253
intc,3/11/2014,21.6171,21.679,21.4688,21.5735,26695627,26695627,-0.095961,-0.443,21.7733,11-Mar-14,0.042414608
intc,3/12/2014,21.5037,21.7043,21.4688,21.5997,21259016,21259016,0.026173,0.121,21.5927,12-Mar-14,0.043680571
intc,3/13/2014,21.6346,21.8047,21.3118,21.4339,26243253,26243253,-0.16575,-0.767,21.4985,13-Mar-14,0.035669245
intc,3/14/2014,21.3554,21.4993,21.2856,21.3728,21807232,21807232,-0.061065,-0.285,21.4315,14-Mar-14,0.032716941
intc,3/17/2014,21.495,21.652,21.3641,21.5473,18525794,18525794,0.174473,0.816,21.5554,17-Mar-14,0.041148644
intc,3/18/2014,21.5299,21.7218,21.4165,21.652,26344019,26344019,0.104682,0.486,21.6234,18-Mar-14,0.046207666
intc,3/19/2014,21.6782,22.0271,21.6126,21.8265,34229423,34229423,0.174472,0.806,21.5397,19-Mar-14,0.05463937
intc,3/20/2014,21.809,22.3237,21.7567,22.1798,37009068,37009068,0.353307,1.619,22.1367,20-Mar-14,0.071710549
intc,3/21/2014,22.3412,22.4022,21.9486,21.9573,56864569,56864569,-0.222451,-1.003,15.3333,21-Mar-14,0.060959523
intc,3/24/2014,21.9922,22.1405,21.7392,21.9137,36951569,36951569,-0.043617,-0.199,21.9234,24-Mar-14,0.058852805
intc,3/25/2014,21.9748,22.3935,21.9573,22.2103,32317416,32317416,0.296602,1.353,22.2191,25-Mar-14,0.073184285
intc,3/26/2014,22.3237,22.4546,22.0882,22.1381,26442817,26442817,-0.072233,-0.325,22.2426,26-Mar-14,0.069695637
intc,3/27/2014,22.1231,22.4633,22.062,22.0795,27209145,27209145,-0.058624,-0.265,22.1041,27-Mar-14,0.066864131
intc,3/28/2014,22.1667,22.5156,22.0882,22.3499,22884455,22884455,0.270435,1.225,22.3575,28-Mar-14,0.079929647
