ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
mmm,2/3/2014,113.0651,113.3914,109,109.2557,4245704,4245704,-3.7829,-3.347,110.2027,3-Feb-14,0
mmm,2/4/2014,111.1869,112.5559,109.4497,111.7424,7423602,7423602,2.4867,2.276,110.8723,4-Feb-14,0.022760369
mmm,2/5/2014,112.88,113.5413,111.037,112.3068,4960130,4960130,0.564356,0.505,112.0335,5-Feb-14,0.027926232
mmm,2/6/2014,112.5184,113.9293,112.0775,113.6648,3828431,3828431,1.358,1.209,113.3371,6-Feb-14,0.040355789
mmm,2/7/2014,114.2556,114.9787,113.5854,114.9258,3271820,3271820,1.261,1.109,113.5456,7-Feb-14,0.051897521
mmm,2/10/2014,114.3261,114.9963,113.7746,114.3702,3317360,3317360,-0.555537,-0.483,114.4668,10-Feb-14,0.046812203
mmm,2/11/2014,114.3702,115.9486,114.3261,115.4989,2604237,2604237,1.1287,0.987,115.3886,11-Feb-14,0.057143014
mmm,2/12/2014,115.6898,116.2756,115.3969,115.7786,2100646,2100646,0.279627,0.242,115.7302,12-Feb-14,0.059703064
mmm,2/13/2014,114.7578,115.7253,114.1986,115.5123,2850607,2850607,-0.266283,-0.23,115.2593,13-Feb-14,0.057265662
mmm,2/14/2014,115.1839,117.3319,114.9442,117.2697,3031589,3031589,1.7574,1.521,116.7536,14-Feb-14,0.073350864
mmm,2/18/2014,117.4384,117.8289,116.8437,116.9857,2876570,2876570,-0.284034,-0.242,117.2101,18-Feb-14,0.070751457
mmm,2/19/2014,116.5685,117.7934,115.7963,115.8851,2719359,2719359,-1.1006,-0.941,116.7624,19-Feb-14,0.060677841
mmm,2/20/2014,115.9649,117.1899,115.428,116.7727,2155829,2155829,0.887597,0.766,116.6608,20-Feb-14,0.068801902
mmm,2/21/2014,116.7727,117.4561,116.5419,116.7815,2574269,2574269,0.008879,0.008,116.9909,21-Feb-14,0.068882447
mmm,2/24/2014,117.0656,118.4591,116.6661,117.3407,2454286,2454286,0.559188,0.479,117.7355,24-Feb-14,0.074000716
mmm,2/25/2014,117.4029,118.4325,117.0389,117.9887,2865583,2865583,0.647946,0.552,121.7203,25-Feb-14,0.079931756
mmm,2/26/2014,118.1662,118.459,117.4117,117.9265,2771103,2771103,-0.06213,-0.053,117.9653,26-Feb-14,0.07936245
mmm,2/27/2014,117.7224,119.4532,117.1632,119.2402,3123972,3123972,1.3136,1.114,118.8704,27-Feb-14,0.091386536
mmm,2/28/2014,119.1071,120.0035,118.8674,119.5864,3179708,3179708,0.346167,0.29,119.5866,28-Feb-14,0.09455525
mmm,3/3/2014,118.1129,118.7697,116.8703,117.3496,2814379,2814379,-2.2368,-1.87,117.2874,3-Mar-14,0.074082176
mmm,3/4/2014,117.0922,118.1218,116.7904,117.7668,6975609,6975609,0.41717,0.355,117.5397,4-Mar-14,0.077900741
mmm,3/5/2014,117.749,118.9691,117.3319,118.8053,3551443,3551443,1.0385,0.882,118.3824,5-Mar-14,0.087405966
mmm,3/6/2014,119.2668,119.5952,118.9562,119.0094,2236816,2236816,0.204147,0.172,119.1821,6-Mar-14,0.089274061
mmm,3/7/2014,119.7195,119.826,118.681,119.036,2381391,2381391,0.026627,0.022,119.1374,7-Mar-14,0.089517526
mmm,3/10/2014,118.9207,119.0094,118.1396,118.5479,1966251,1966251,-0.488178,-0.41,118.5354,10-Mar-14,0.085050025
mmm,3/11/2014,118.6988,118.7964,117.3647,117.6159,1928934,1928934,-0.931981,-0.786,117.9456,11-Mar-14,0.076519577
mmm,3/12/2014,117.2253,117.8378,116.7993,117.6691,2636985,2636985,0.053255,0.045,117.4915,12-Mar-14,0.077006509
mmm,3/13/2014,118.2195,118.6455,115.9561,116.107,2520817,2520817,-1.5622,-1.328,110.6,13-Mar-14,0.062708856
mmm,3/14/2014,115.459,116.3732,115.1217,115.2371,2975110,2975110,-0.869849,-0.749,115.689,14-Mar-14,0.0547468
mmm,3/17/2014,115.9738,117.7756,115.9738,117.4029,2529436,2529436,2.1657,1.879,117.3241,17-Mar-14,0.074570022
mmm,3/18/2014,117.5981,118.255,117.3851,117.82,2032836,2032836,0.41717,0.355,117.9377,18-Mar-14,0.078387672
mmm,3/19/2014,117.8289,117.9177,115.9028,116.4798,2141027,2141027,-1.3403,-1.138,113.624,19-Mar-14,0.066121035
