ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
mrk,2/3/2014,45.3095,45.5151,44.4617,44.5988,15489910,15489910,-0.762151,-1.68,44.5977,3-Feb-14,0
mrk,2/4/2014,45.0355,45.8319,44.8728,45.8233,18273653,18273653,1.2246,2.746,45.1434,4-Feb-14,0.027455896
mrk,2/5/2014,46.4784,47.2706,45.5065,45.8405,24507243,24507243,0.017129,0.037,46.0561,5-Feb-14,0.027841556
mrk,2/6/2014,45.6093,46.1273,45.2153,46.046,12246810,12246810,0.205523,0.448,45.8747,6-Feb-14,0.032449304
mrk,2/7/2014,45.9432,46.9452,45.7634,46.9023,14547783,14547783,0.85635,1.86,46.3947,7-Feb-14,0.051649372
mrk,2/10/2014,46.4913,47.0993,46.4313,47.0051,10615310,10615310,0.102765,0.219,47.001,10-Feb-14,0.053954366
mrk,2/11/2014,46.851,47.7416,46.6197,47.6987,15358220,15358220,0.693643,1.476,47.3005,11-Feb-14,0.069506354
mrk,2/12/2014,47.4761,47.6902,46.9708,47.0993,13629961,13629961,-0.599448,-1.257,47.1711,12-Feb-14,0.056066531
mrk,2/13/2014,46.6283,47.2791,46.5941,47.1849,10244169,10244169,0.085636,0.182,47.0441,13-Feb-14,0.057985865
mrk,2/14/2014,47.0565,47.626,47.0565,47.4761,8696479,8696479,0.291159,0.617,47.406,14-Feb-14,0.064515189
mrk,2/18/2014,47.2877,47.8914,47.2106,47.6902,11201287,11201287,0.21409,0.451,47.7118,18-Feb-14,0.069315766
mrk,2/19/2014,47.4761,47.6645,47.0907,47.1336,10297100,10297100,-0.556631,-1.167,47.361,19-Feb-14,0.05683561
mrk,2/20/2014,47.1935,47.9556,47.125,47.7929,10133452,10133452,0.659392,1.399,47.6736,20-Feb-14,0.071618519
mrk,2/21/2014,47.8272,48.2468,47.8015,47.9813,11666583,11666583,0.188397,0.394,48.0287,21-Feb-14,0.075842848
mrk,2/24/2014,47.8443,48.7435,47.8443,48.1098,11012522,11012522,0.128453,0.268,48.3312,24-Feb-14,0.078724091
mrk,2/25/2014,48.067,48.2896,47.7844,47.8786,8515916,8515916,-0.231214,-0.481,48.0079,25-Feb-14,0.073540095
mrk,2/26/2014,47.9556,48.341,47.8871,48.1869,10139579,10139579,0.308287,0.644,49.1104,26-Feb-14,0.080452837
mrk,2/27/2014,48.1612,48.5294,47.9557,48.5208,9055465,9055465,0.333976,0.693,48.3148,27-Feb-14,0.087939586
mrk,2/28/2014,48.5808,49.2016,48.5123,48.8034,11887592,11887592,0.282594,0.582,48.9093,28-Feb-14,0.094276079
mrk,3/3/2014,48.0413,48.615,47.9128,48.3153,9821842,9821842,-0.48812,-1,48.103,3-Mar-14,0.083331839
mrk,3/4/2014,48.8463,49.146,48.7349,48.8634,10996055,10996055,0.548067,1.134,48.9364,4-Mar-14,0.095621407
mrk,3/5/2014,49.1545,49.1888,48.401,48.7092,9048109,9048109,-0.154143,-0.315,48.6719,5-Mar-14,0.092163915
mrk,3/6/2014,48.8634,49.3686,48.8206,49.0347,10605733,10605733,0.32541,0.668,49.1273,6-Mar-14,0.099462317
mrk,3/7/2014,49.1117,49.3001,48.8976,49.2145,10634294,10634294,0.179837,0.367,49.1556,7-Mar-14,0.103493816
mrk,3/10/2014,49.1888,49.3429,48.812,49.086,7383294,7383294,-0.128455,-0.261,49.0324,10-Mar-14,0.100612573
mrk,3/11/2014,49.1545,49.1888,48.4438,48.5465,10885694,10885694,-0.5395,-1.099,48.6861,11-Mar-14,0.088515835
mrk,3/12/2014,48.2896,48.7521,48.1783,48.6493,9499235,9499235,0.102761,0.212,48.5514,12-Mar-14,0.090820829
