ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
msft,2/3/2014,33.466,33.6832,32.3043,32.3487,64102391,64102391,-1.206,-3.594,32.8458,3-Feb-14,0
msft,2/4/2014,32.7832,32.9774,32.1447,32.2334,55526924,55526924,-0.115277,-0.356,32.411,4-Feb-14,-0.003564285
msft,2/5/2014,32.1802,32.3398,31.7457,31.7634,55841097,55841097,-0.469978,-1.458,32.0088,5-Feb-14,-0.018093463
msft,2/6/2014,31.7457,32.1447,31.6481,32.0826,35380994,35380994,0.319232,1.005,32.0218,6-Feb-14,-0.008225987
msft,2/7/2014,32.2068,32.4462,31.9319,32.4196,33348008,33348008,0.336965,1.05,32.2702,7-Feb-14,0.002191742
msft,2/10/2014,32.4817,32.6324,32.1802,32.6324,26782083,26782083,0.212821,0.656,32.5426,10-Feb-14,0.008770059
msft,2/11/2014,32.7034,33.0403,32.6856,32.965,32164989,32164989,0.33253,1.019,32.9413,11-Feb-14,0.01905177
msft,2/12/2014,33.1201,33.3418,33.0758,33.2266,27055869,27055869,0.261593,0.794,33.2367,12-Feb-14,0.027138649
msft,2/13/2014,33.1024,33.5724,33.1024,33.3507,37647772,37647772,0.124142,0.374,33.4157,13-Feb-14,0.03097497
msft,2/14/2014,33.1556,33.5014,33.1024,33.3596,42986738,42986738,0.00887,0.027,33.3362,14-Feb-14,0.031250097
msft,2/18/2014,33.6187,33.7527,33.4221,33.431,32839707,32839707,0.071478,0.214,33.5283,18-Feb-14,0.033457295
msft,2/19/2014,33.2524,33.7259,33.2434,33.5114,29794084,29794084,0.080404,0.241,33.5286,19-Feb-14,0.035942712
msft,2/20/2014,33.565,33.8331,33.4087,33.7259,27541038,27541038,0.214417,0.64,33.6762,20-Feb-14,0.042573581
msft,2/21/2014,33.8956,34.2619,33.8241,33.9313,38030656,38030656,0.205483,0.609,34.0174,21-Feb-14,0.048923141
msft,2/24/2014,33.6723,33.9269,33.5382,33.6723,32143395,32143395,-0.259088,-0.764,33.7801,24-Feb-14,0.040916637
msft,2/25/2014,33.6008,33.8152,33.3685,33.5382,30867657,30867657,-0.134011,-0.398,33.6166,25-Feb-14,0.036771184
msft,2/26/2014,33.5741,33.7169,33.2256,33.4757,41042629,41042629,-0.062537,-0.186,33.5049,26-Feb-14,0.034839113
msft,2/27/2014,33.4578,33.8509,33.2613,33.8241,33919024,33919024,0.348424,1.041,33.5998,27-Feb-14,0.045609252
msft,2/28/2014,33.9313,34.3602,33.7884,34.2262,41217028,41217028,0.402033,1.189,34.1588,28-Feb-14,0.058039427
msft,3/3/2014,33.8777,34.0654,33.498,33.7527,29716052,29716052,-0.473502,-1.383,33.7001,3-Mar-14,0.043402053
