ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
nke,2/3/2014,34.3351,34.3492,33.4007,33.4479,9516214,4758107,-0.929632,-2.704,33.4632,3-Feb-14,0
nke,2/4/2014,33.4857,33.6178,33.1931,33.2733,7004194,3502097,-0.174602,-0.522,33.2397,4-Feb-14,-0.005220059
nke,2/5/2014,33.2544,33.4396,32.9619,33.3158,7368688,3684344,0.04247,0.128,33.1956,5-Feb-14,-0.003949426
nke,2/6/2014,33.3866,34.1038,33.2686,33.7452,7359296,3679648,0.429425,1.289,33.7963,6-Feb-14,0.00888845
nke,2/7/2014,33.934,34.3752,33.8585,34.302,6988704,3494352,0.556836,1.65,33.7682,7-Feb-14,0.025535235
nke,2/10/2014,34.3209,34.4436,34.0342,34.2926,6430536,3215268,-0.009438,-0.028,34.2069,10-Feb-14,0.025254201
nke,2/11/2014,34.2832,34.9886,34.1888,34.9108,8754260,4377130,0.618182,1.803,34.6536,11-Feb-14,0.043736677
nke,2/12/2014,35.0665,35.3025,34.8447,34.9721,6396304,3198152,0.061346,0.176,34.9996,12-Feb-14,0.045569378
nke,2/13/2014,34.84,35.3715,34.7975,35.3308,6168760,3084380,0.358641,1.026,35.1986,13-Feb-14,0.056293519
nke,2/14/2014,35.3308,35.4771,35.0146,35.4251,6211156,3105578,0.09438,0.267,35.3602,14-Feb-14,0.059112829
nke,2/18/2014,35.4582,35.6139,35.3449,35.4912,5935698,2967849,0.066063,0.186,35.5178,18-Feb-14,0.061089037
nke,2/19/2014,35.2081,35.6498,35.2081,35.3072,5401484,2700742,-0.184038,-0.519,35.4505,19-Feb-14,0.055587944
nke,2/20/2014,35.3874,35.746,35.326,35.6658,5581594,2790797,0.358641,1.016,35.6501,20-Feb-14,0.066309096
nke,2/21/2014,35.5762,36.1755,35.562,36.0905,8728528,4364264,0.424705,1.191,36.0046,21-Feb-14,0.079006455
nke,2/24/2014,36.1424,36.8739,36.0952,36.7323,11090816,5545408,0.641777,1.778,36.6895,24-Feb-14,0.098194505
nke,2/25/2014,36.6804,37.0532,36.6049,36.8597,6844588,3422294,0.12741,0.347,36.8998,25-Feb-14,0.102003414
nke,2/26/2014,36.9541,37.3056,36.9541,37.006,7918668,3959334,0.146289,0.397,37.1091,26-Feb-14,0.106377381
nke,2/27/2014,36.9208,37.1054,36.6746,36.9302,6599430,3299715,-0.075753,-0.205,36.8209,27-Feb-14,0.10411117
nke,2/28/2014,36.8734,37.2568,36.7362,37.0628,6876614,3438307,0.132539,0.359,37.0724,28-Feb-14,0.108075544
nke,3/3/2014,36.7456,36.916,36.2344,36.632,6069112,3034556,-0.430745,-1.162,36.4738,3-Mar-14,0.095195812
nke,3/4/2014,37.1906,37.4178,37.0912,37.2142,5661616,2830808,0.582213,1.589,37.2333,4-Mar-14,0.112601987
nke,3/5/2014,37.1669,37.2048,36.6178,36.6462,6733758,3366879,-0.568013,-1.526,36.7121,5-Mar-14,0.095620353
nke,3/6/2014,36.8261,37.1054,36.6178,37.0249,5537940,2768970,0.378675,1.033,36.9319,6-Mar-14,0.106942439
nke,3/7/2014,37.4415,37.9101,37.432,37.6119,8930880,4465440,0.586945,1.585,37.629,7-Mar-14,0.124492121
nke,3/10/2014,37.4746,37.5645,37.1338,37.3847,5344448,2672224,-0.227202,-0.604,37.3166,10-Mar-14,0.117699467
nke,3/11/2014,37.4178,37.6876,37.1906,37.2994,4907242,2453621,-0.085204,-0.228,37.4201,11-Mar-14,0.115149232
nke,3/12/2014,36.9681,37.3941,36.935,37.3799,4297346,2148673,0.08047,0.216,37.2704,12-Mar-14,0.11755596
nke,3/13/2014,37.5125,37.7397,37.077,37.1716,8400450,4200225,-0.208271,-0.557,36.2366,13-Mar-14,0.111328364
nke,3/14/2014,37.058,37.3941,36.8308,37.0722,6086540,3043270,-0.099403,-0.267,37.1461,14-Mar-14,0.108356578
nke,3/17/2014,37.3326,37.4604,37.1669,37.3847,8580336,4290168,0.312408,0.843,37.3465,17-Mar-14,0.117699467
nke,3/18/2014,37.4793,37.9053,37.4178,37.6971,8245394,4122697,0.312406,0.836,37.7223,18-Mar-14,0.127039366
nke,3/19/2014,37.5598,37.8485,37.1858,37.4651,5970302,2985151,-0.231939,-0.615,36.8791,19-Mar-14,0.120103205
nke,3/20/2014,37.3704,37.5219,36.8119,37.5219,12440636,6220318,0.056801,0.152,37.3477,20-Mar-14,0.121801369
nke,3/21/2014,36.4948,36.5942,35.5007,35.6001,31787072,15893536,-1.9218,-5.122,35.1065,21-Mar-14,0.064344847
nke,3/24/2014,35.7279,35.8936,35.2972,35.4345,10002094,5001047,-0.165673,-0.465,35.5258,24-Mar-14,0.059393863
nke,3/25/2014,35.6664,35.7422,34.8333,34.8617,10529380,5264690,-0.572744,-1.616,35.0361,25-Mar-14,0.042268722
nke,3/26/2014,35.1126,35.2641,34.6582,34.6582,8543902,4271951,-0.203538,-0.584,35.5096,26-Mar-14,0.036184633
nke,3/27/2014,34.7008,35.0747,34.5588,34.7055,8158684,4079342,0.047335,0.137,34.6267,27-Mar-14,0.037598773
nke,3/28/2014,34.8286,35.0842,34.6866,34.8097,5987044,2993522,0.104136,0.3,34.877,28-Mar-14,0.040714066
nke,3/31/2014,35.0274,35.1173,34.7671,34.9611,6356670,3178335,0.151468,0.435,34.9546,31-Mar-14,0.045240508
