ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
pg,2/3/2014,65.2627,65.3223,64.3351,64.4202,14304728,14304728,-0.782916,-1.201,64.4934,3-Feb-14,0
pg,2/4/2014,64.6755,65.0074,64.1649,64.7521,15598441,15598441,0.331889,0.515,64.4116,4-Feb-14,0.005152111
pg,2/5/2014,64.6245,65.3563,64.3947,65.0585,9734258,9734258,0.306358,0.473,64.6806,5-Feb-14,0.009908383
pg,2/6/2014,65.1266,65.518,65.084,65.4414,7821991,7821991,0.382946,0.589,65.3782,6-Feb-14,0.015852171
pg,2/7/2014,65.518,65.8584,65.3138,65.7903,7301419,7301419,0.348905,0.533,65.2074,7-Feb-14,0.021268174
pg,2/10/2014,65.8925,66.4541,65.6882,66.4031,8964308,8964308,0.612716,0.931,66.1059,10-Feb-14,0.030780718
pg,2/11/2014,66.4626,67.3221,66.0746,67.0924,10516106,10516106,0.689306,1.038,67.7921,11-Feb-14,0.041480778
pg,2/12/2014,66.4882,66.8286,65.5776,65.9435,11035220,11035220,-1.1488,-1.712,66.0637,12-Feb-14,0.02364631
pg,2/13/2014,65.6031,66.3095,65.5265,66.2073,7422665,7422665,0.263808,0.4,66.034,13-Feb-14,0.027741299
pg,2/14/2014,66.1137,67.8668,65.7393,67.5689,10819496,10819496,1.3616,2.057,67.2951,14-Feb-14,0.048877526
pg,2/18/2014,67.637,67.7647,66.0031,66.352,15763668,15763668,-1.2169,-1.801,66.4203,18-Feb-14,0.029987488
pg,2/19/2014,66.0712,67.1928,65.9946,66.4967,8740119,8740119,0.14467,0.218,66.6959,19-Feb-14,0.032233678
pg,2/20/2014,66.3435,66.752,65.952,66.3095,8275272,8275272,-0.187218,-0.282,66.4218,20-Feb-14,0.029327757
pg,2/21/2014,66.4201,67.1349,66.3009,66.352,8095885,8095885,0.042548,0.064,66.6691,21-Feb-14,0.029987488
pg,2/24/2014,66.4031,67.0327,66.0456,66.2584,7838896,7838896,-0.093608,-0.141,66.5519,24-Feb-14,0.028534528
pg,2/25/2014,66.1478,66.6413,65.8669,66.4797,8182444,8182444,0.221257,0.334,66.3908,25-Feb-14,0.031969786
pg,2/26/2014,66.5733,67.0328,66.2244,66.2584,7772528,7772528,-0.221257,-0.333,66.5358,26-Feb-14,0.028534528
pg,2/27/2014,66.1818,66.5733,65.9988,66.5392,6549833,6549833,0.280825,0.424,66.3418,27-Feb-14,0.032893409
pg,2/28/2014,66.5818,67.1519,66.3822,66.9392,8489944,8489944,0.399969,0.601,66.8856,28-Feb-14,0.039102642
pg,3/3/2014,66.5988,66.7251,65.8244,65.935,8598611,8598611,-1.0042,-1.5,65.9076,3-Mar-14,0.023514364
pg,3/4/2014,66.4541,66.9902,66.2882,66.7605,8306976,8306976,0.825466,1.252,66.7788,4-Mar-14,0.036328667
pg,3/5/2014,66.6498,66.7264,65.9946,66.2244,8542659,8542659,-0.536128,-0.803,66.6782,5-Mar-14,0.028006743
pg,3/6/2014,66.4116,66.7562,66.2414,66.4286,6475573,6475573,0.20424,0.308,66.4963,6-Mar-14,0.031176556
pg,3/7/2014,66.7264,66.8839,66.4711,66.7009,5865449,5865449,0.272316,0.41,66.679,7-Mar-14,0.035403491
pg,3/10/2014,66.6243,66.8626,66.5477,66.8286,5233421,5233421,0.127649,0.191,66.7205,10-Mar-14,0.037385789
pg,3/11/2014,66.8796,67.5604,66.8626,67.186,6599692,6599692,0.357418,0.535,67.2234,11-Mar-14,0.042933738
pg,3/12/2014,66.9392,67.6115,66.9051,67.4328,7470100,7470100,0.246788,0.367,67.345,12-Mar-14,0.046764835
pg,3/13/2014,67.5008,67.8753,67.3902,67.3902,9676644,9676644,-0.04255,-0.063,64.6398,13-Mar-14,0.046103551
pg,3/14/2014,67.3136,67.4243,66.9477,67.2115,14850696,14850696,-0.178709,-0.265,67.1834,14-Mar-14,0.043329577
pg,3/17/2014,67.2455,68.037,67.2455,67.9434,8452219,8452219,0.731856,1.089,67.8375,17-Mar-14,0.05469092
pg,3/18/2014,67.9434,68.1476,67.6624,67.8838,7703150,7703150,-0.059569,-0.088,67.8706,18-Mar-14,0.053765744
pg,3/19/2014,67.8072,68.0029,66.8115,67.0413,8607176,8607176,-0.842483,-1.241,65.2433,19-Mar-14,0.040687548
pg,3/20/2014,66.9732,67.169,66.5093,66.6498,8659509,8659509,-0.39146,-0.584,66.8177,20-Mar-14,0.034610262
pg,3/21/2014,67.2626,67.8668,66.2754,66.2754,21250203,21250203,-0.374438,-0.562,63.9035,21-Mar-14,0.02879842
pg,3/24/2014,66.7988,67.9348,66.7775,67.4838,11221570,11221570,1.2084,1.823,67.6246,24-Mar-14,0.047556512
pg,3/25/2014,67.671,68.071,67.603,67.9178,8892450,8892450,0.434009,0.643,67.8447,25-Mar-14,0.054293529
pg,3/26/2014,68.1051,68.2327,67.5094,67.654,8270011,8270011,-0.263809,-0.388,67.7122,26-Mar-14,0.05019854
pg,3/27/2014,67.6966,68.4454,67.5519,67.7817,8134097,8134097,0.127648,0.189,67.4791,27-Mar-14,0.052180838
pg,3/28/2014,68.0285,68.3518,67.671,67.8753,6413509,6413509,0.09361,0.138,67.9414,28-Mar-14,0.053633798
pg,3/31/2014,68.0795,68.7858,67.6966,68.5901,8493091,8493091,0.714836,1.053,68.41,31-Mar-14,0.064729697
pg,4/1/2014,68.5901,68.7944,68.2582,68.3689,8222389,8222389,-0.221259,-0.323,68.4556,1-Apr-14,0.061295991
pg,4/2/2014,68.2412,68.3603,67.9093,68.1901,6741554,6741554,-0.178712,-0.261,68.1486,2-Apr-14,0.058520464
pg,4/3/2014,68.3178,68.5731,68.0199,68.1646,5647193,5647193,-0.025528,-0.037,68.1749,3-Apr-14,0.058124626
pg,4/4/2014,68.4795,68.5528,67.8668,67.8838,8649667,8649667,-0.280827,-0.412,68.1189,4-Apr-14,0.053765744
pg,4/7/2014,68.0965,68.9901,68.0199,68.4965,13228988,13228988,0.612716,0.903,68.5273,7-Apr-14,0.063276736
pg,4/8/2014,68.5135,69.2539,68.0965,69.2284,11886367,11886367,0.731855,1.068,68.8585,8-Apr-14,0.074638079
pg,4/9/2014,69.6113,69.9857,69.2028,69.3475,11555284,11555284,0.119139,0.172,69.5118,9-Apr-14,0.076486878
pg,4/10/2014,69.4241,69.8921,68.8369,69.0071,12202694,12202694,-0.3404,-0.491,69.1297,10-Apr-14,0.071202821
pg,4/11/2014,68.9135,69.4922,68.505,68.7263,11831591,11831591,-0.280827,-0.407,68.785,11-Apr-14,0.06684394
pg,4/14/2014,68.9305,69.1007,68.5135,68.7688,7105587,7105587,0.04255,0.062,68.7335,14-Apr-14,0.067503671
pg,4/15/2014,68.7518,69.0071,68.522,68.7944,9007674,9007674,0.025528,0.037,68.8465,15-Apr-14,0.067901062
pg,4/16/2014,69.1688,69.6794,68.956,69.4837,8301006,8301006,0.689308,1.002,69.4646,16-Apr-14,0.078601122
pg,4/17/2014,69.3305,69.6879,69.2199,69.5773,8374713,8374713,0.093609,0.135,69.5081,17-Apr-14,0.080054082
pg,4/21/2014,69.6198,69.6198,69.1773,69.4071,6395150,6395150,-0.170202,-0.245,69.3887,21-Apr-14,0.077412054
pg,4/22/2014,69.3901,69.5007,69.0582,69.1433,9260267,9260267,-0.263806,-0.38,69.2915,22-Apr-14,0.073317065
pg,4/23/2014,69.2407,69.2407,68.0913,68.9319,9580599,9580599,-0.211375,-0.306,68.717,23-Apr-14,0.070035486
pg,4/24/2014,68.8461,69.8068,68.6317,69.6095,9528562,9528562,0.677653,0.983,69.5754,24-Apr-14,0.080553926
pg,4/25/2014,69.6524,69.9784,69.4551,69.8326,7497404,7497404,0.223024,0.32,69.8489,25-Apr-14,0.084017125
pg,4/28/2014,69.9441,71.1793,69.9183,71.145,11595127,11595127,1.3124,1.879,70.8349,28-Apr-14,0.104389617
pg,4/29/2014,70.982,71.1536,70.6475,70.7161,7214281,7214281,-0.428893,-0.603,70.8648,29-Apr-14,0.097731767
pg,4/30/2014,70.6732,70.982,70.5424,70.8104,6253243,6253243,0.094356,0.133,70.7612,30-Apr-14,0.099195594
pg,5/1/2014,70.6732,70.7418,70.1328,70.6303,5312492,5312492,-0.180135,-0.254,70.4796,1-May-14,0.096399887
pg,5/2/2014,70.5274,70.8533,70.1242,70.27,6629371,6629371,-0.360273,-0.51,70.3697,2-May-14,0.090806921
pg,5/5/2014,70.0299,70.2392,69.884,70.0813,4563610,4563610,-0.188711,-0.269,70.0902,5-May-14,0.087877715
pg,5/6/2014,70.1328,70.1328,69.5838,69.5924,4591267,4591267,-0.488943,-0.698,72.2221,6-May-14,0.080288481
pg,5/7/2014,69.8669,70.4587,69.8411,70.4159,6639614,6639614,0.82348,1.183,70.3115,7-May-14,0.093071738
pg,5/8/2014,70.3901,70.6132,70.1843,70.4759,4631207,4631207,0.060044,0.085,70.4155,8-May-14,0.094003123
pg,5/9/2014,70.5102,71.0249,70.4587,70.6732,7303502,7303502,0.197292,0.28,70.8997,9-May-14,0.097065827
pg,5/12/2014,70.8619,70.9477,70.0899,70.1071,7859053,7859053,-0.566141,-0.801,77.5302,12-May-14,0.088278211
pg,5/13/2014,70.2872,70.3215,69.8411,70.0041,6540218,6540218,-0.102933,-0.147,70.0487,13-May-14,0.086679334
pg,5/14/2014,70.1156,70.2615,69.5838,69.6267,6872657,6872657,-0.377427,-0.539,69.7725,14-May-14,0.080820923
pg,5/15/2014,69.6953,69.7983,69.0005,69.0777,9402103,9402103,-0.548985,-0.788,69.3463,15-May-14,0.072298751
pg,5/16/2014,69.1635,69.275,68.6231,68.9062,11559255,11559255,-0.171557,-0.248,68.8721,16-May-14,0.069636543
pg,5/19/2014,68.6317,68.666,68.2285,68.563,6073538,6073538,-0.343119,-0.498,68.5283,19-May-14,0.064309021
pg,5/20/2014,68.6402,69.1206,68.5974,68.8204,7057232,7057232,0.25734,0.375,68.8546,20-May-14,0.068304662
pg,5/21/2014,68.9147,69.1978,68.6402,69.0434,6339794,6339794,0.223024,0.324,69.1339,21-May-14,0.071766309
pg,5/22/2014,68.9405,69.1978,68.666,69.1806,5561257,5561257,0.137244,0.199,69.0309,22-May-14,0.073896076
pg,5/23/2014,69.0606,69.3522,68.9662,69.0691,4472635,4472635,-0.111508,-0.161,69.1249,23-May-14,0.072165253
pg,5/27/2014,69.0949,69.1206,68.666,68.6917,7004714,7004714,-0.37743,-0.546,68.8072,27-May-14,0.066306842
pg,5/28/2014,68.6488,68.8633,68.6402,68.7089,4201377,4201377,0.017158,0.025,68.7383,28-May-14,0.066573839
pg,5/29/2014,68.7089,68.9662,68.6917,68.9662,3886779,3886779,0.257336,0.375,68.8786,29-May-14,0.070567927
pg,5/30/2014,68.8375,69.3522,68.7689,69.3007,7432199,7432199,0.334535,0.485,69.1902,30-May-14,0.075760398
pg,6/2/2014,69.1892,69.1978,68.8718,68.9319,4331701,4331701,-0.368848,-0.532,69.0022,2-Jun-14,0.070035486
pg,6/3/2014,68.6574,68.8804,68.28,68.563,6970914,6970914,-0.368851,-0.535,68.574,3-Jun-14,0.064309021
pg,6/4/2014,68.6231,68.8118,68.3144,68.503,5427687,5427687,-0.060042,-0.088,68.4971,4-Jun-14,0.063377636
pg,6/5/2014,68.7174,68.889,68.5974,68.7174,5788203,5788203,0.214447,0.313,68.7103,5-Jun-14,0.066705785
pg,6/6/2014,68.7003,68.8268,68.4687,68.6488,5521710,5521710,-0.068621,-0.1,68.6456,6-Jun-14,0.065640901
pg,6/9/2014,68.5459,68.829,68.4944,68.7003,6352506,6352506,0.051465,0.075,68.6693,9-Jun-14,0.06644034
pg,6/10/2014,68.6488,68.8804,68.6231,68.7518,5658366,5658366,0.051468,0.075,68.762,10-Jun-14,0.067239779
pg,6/11/2014,68.666,68.8804,68.5201,68.6746,7453733,7453733,-0.0772,-0.112,68.6465,11-Jun-14,0.066041397
pg,6/12/2014,68.4687,68.6488,68.3572,68.4172,6526949,6526949,-0.257337,-0.375,68.4673,12-Jun-14,0.062045756
pg,6/13/2014,68.3915,68.5716,68.1942,68.3143,5214278,5214278,-0.102936,-0.15,68.3383,13-Jun-14,0.060448431
pg,6/16/2014,68.2113,68.5716,67.8597,68.3572,5334617,5334617,0.042888,0.063,68.3275,16-Jun-14,0.061114371
pg,6/17/2014,68.2885,68.4429,68.0655,68.2628,5337668,5337668,-0.094356,-0.138,68.2165,17-Jun-14,0.059648992
pg,6/18/2014,68.1427,68.5716,67.8768,68.4429,9618007,9618007,0.180136,0.264,68.2616,18-Jun-14,0.062444699
pg,6/19/2014,68.4944,69.112,68.4515,68.829,12493024,12493024,0.386006,0.564,68.8304,19-Jun-14,0.068438161
pg,6/20/2014,69.0005,69.052,68.473,68.563,11664486,11664486,-0.265918,-0.386,68.8476,20-Jun-14,0.064309021
pg,6/23/2014,68.6746,68.6746,68.0741,68.2113,6947701,6947701,-0.35169,-0.513,70.5456,23-Jun-14,0.058849553
pg,6/24/2014,68.1256,68.1427,67.6924,67.7739,8157305,8157305,-0.437472,-0.641,67.928,24-Jun-14,0.052059758
pg,6/25/2014,67.7996,68.0698,67.4651,68.0398,12569262,12569262,0.265912,0.392,67.8353,25-Jun-14,0.056187345
pg,6/26/2014,67.9712,68.0141,67.4136,67.4393,7262067,7262067,-0.600451,-0.882,67.5544,26-Jun-14,0.046865735
pg,6/27/2014,67.4222,67.9283,67.3536,67.7825,8975304,8975304,0.343118,0.509,71.2644,27-Jun-14,0.052193256
pg,6/30/2014,67.7739,68.1599,67.2764,67.4136,10303230,10303230,-0.36885,-0.544,67.7646,30-Jun-14,0.046466791
pg,7/1/2014,67.6538,68.117,67.3407,68.0055,8426276,8426276,0.591872,0.878,67.9301,1-Jul-14,0.055654903
pg,7/2/2014,68.2457,68.503,68.1427,68.2457,6282586,6282586,0.240179,0.353,68.3414,2-Jul-14,0.059383547
pg,7/3/2014,68.563,68.7432,68.31,68.6059,5501056,5501056,0.360273,0.528,68.5489,3-Jul-14,0.064974961
pg,7/7/2014,68.4086,68.7946,68.3314,68.7861,6674885,6674885,0.180137,0.263,68.6477,7-Jul-14,0.067772221
pg,7/8/2014,68.6488,69.3522,68.5459,69.1034,9150185,9150185,0.317382,0.461,69.1465,8-Jul-14,0.072697694
pg,7/9/2014,69.1892,70.1671,69.052,70.0556,12120399,12120399,0.952147,1.378,69.9511,9-Jul-14,0.087478772
