ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
unh,2/3/2014,66.7165,66.7812,65.3293,65.4217,4532683,4532683,-1.4242,-2.131,65.2354,3-Feb-14,0
unh,2/4/2014,65.4772,65.6622,64.5524,65.209,4646147,4646147,-0.21271,-0.325,64.5536,4-Feb-14,-0.003251215
unh,2/5/2014,64.6819,65.8472,64.5848,65.4957,4394316,4394316,0.286692,0.44,65.203,5-Feb-14,0.001131123
unh,2/6/2014,65.4495,65.7177,64.8206,65.542,4765611,4765611,0.046243,0.071,65.476,6-Feb-14,0.001838839
unh,2/7/2014,65.1998,66.2633,64.8391,65.9951,6954929,6954929,0.453163,0.691,64.9976,7-Feb-14,0.008764676
unh,2/10/2014,65.579,65.7269,64.3397,64.4969,7778767,7778767,-1.4982,-2.27,64.7325,10-Feb-14,-0.014135982
unh,2/11/2014,64.5154,65.542,64.3489,65.3108,5547440,5547440,0.813843,1.262,65.0845,11-Feb-14,-0.001695156
unh,2/12/2014,65.579,65.9396,64.7189,64.9593,4120630,4120630,-0.351435,-0.538,65.1761,12-Feb-14,-0.007067991
unh,2/13/2014,64.8576,66.1061,64.6726,65.8564,3787957,3787957,0.897078,1.381,65.6907,13-Feb-14,0.006644584
unh,2/14/2014,65.8102,68.2887,65.6622,67.9927,6868841,6868841,2.1363,3.244,67.469,14-Feb-14,0.039298887
unh,2/18/2014,67.9927,69.01,67.928,68.2794,5538437,5538437,0.286694,0.422,68.5394,18-Feb-14,0.043681225
unh,2/19/2014,68.0205,68.7233,67.9003,68.0205,3926547,3926547,-0.25895,-0.379,68.2157,19-Feb-14,0.039723823
unh,2/20/2014,68.0667,68.5384,67.7245,67.9557,4134029,4134029,-0.064736,-0.095,68.114,20-Feb-14,0.038733325
unh,2/21/2014,67.9095,68.5291,67.8263,68.2609,4561973,4561973,0.305189,0.449,68.21,21-Feb-14,0.043398444
unh,2/24/2014,68.5661,70.9984,68.4366,70.2955,9569735,9569735,2.0346,2.981,70.3142,24-Feb-14,0.074498217
unh,2/25/2014,70.2678,70.4158,69.4817,69.6574,3762240,3762240,-0.638122,-0.908,71.1737,25-Feb-14,0.064744573
unh,2/26/2014,69.6667,70.4019,69.158,70.3418,5433154,5433154,0.684365,0.982,70.0457,26-Feb-14,0.075205933
unh,2/27/2014,70.0828,70.6655,69.9164,70.3048,4227261,4227261,-0.036994,-0.053,70.2855,27-Feb-14,0.074640372
unh,2/28/2014,70.3233,71.8677,70.1013,71.4608,6176557,6176557,1.156,1.644,71.3204,28-Feb-14,0.09231035
unh,3/3/2014,70.9337,71.6365,70.7764,71.3036,3673405,3673405,-0.157218,-0.22,71.1881,3-Mar-14,0.089907477
unh,3/4/2014,71.8955,72.6631,71.7105,72.2562,5171180,5171180,0.952564,1.336,72.373,4-Mar-14,0.104468395
unh,3/5/2014,72.3764,72.5983,71.7475,72.1267,3934324,3934324,-0.129476,-0.179,72.0217,5-Mar-14,0.10248893
unh,3/6/2014,72.2746,72.4504,71.7198,71.803,4200499,4200499,-0.323686,-0.449,71.9752,6-Mar-14,0.09754103
unh,3/7/2014,72.1452,72.2007,71.2481,71.581,3434762,3434762,-0.221957,-0.309,71.5413,7-Mar-14,0.09414766
unh,3/10/2014,71.4701,72.0434,71.3128,72.0249,2986435,2986435,0.443911,0.62,71.8147,10-Mar-14,0.100932871
unh,3/11/2014,72.0527,72.5521,71.692,71.9325,3471320,3471320,-0.092482,-0.128,72.0281,11-Mar-14,0.099520495
unh,3/12/2014,71.7283,72.1181,71.6819,72.0253,2875361,2875361,0.092824,0.129,71.9399,12-Mar-14,0.100938985
unh,3/13/2014,72.1738,72.4894,71.4313,71.4777,3178656,3178656,-0.547615,-0.76,67.1468,13-Mar-14,0.092568674
unh,3/14/2014,71.487,71.487,70.2154,70.2618,5128657,5128657,-1.2159,-1.701,70.6028,14-Mar-14,0.073983097
unh,3/17/2014,70.6702,71.487,70.6238,71.2456,3517946,3517946,0.983852,1.4,71.2174,17-Mar-14,0.089020921
unh,3/18/2014,71.4405,72.443,71.2549,72.3966,3670775,3670775,1.1509,1.615,72.2606,18-Mar-14,0.106614472
unh,3/19/2014,72.4615,74.5313,72.3409,74.2157,9060088,9060088,1.8192,2.513,72.6601,19-Mar-14,0.134420231
unh,3/20/2014,73.863,75.7287,73.7238,75.673,7786538,7786538,1.4572,1.963,75.3587,20-Mar-14,0.156695714
unh,3/21/2014,76.2855,77.3344,75.4595,75.4966,11828107,11828107,-0.176351,-0.233,74.1577,21-Mar-14,0.153999361
unh,3/24/2014,75.7843,75.8493,75.0511,75.4409,5306212,5306212,-0.055688,-0.074,75.3095,24-Mar-14,0.153147962
unh,3/25/2014,75.7287,76.2484,75.1625,75.2739,4590186,4590186,-0.16707,-0.221,75.5401,25-Mar-14,0.150595292
unh,3/26/2014,75.6266,76.3876,75.246,75.6822,6909988,6909988,0.408393,0.543,75.7353,26-Mar-14,0.15683634
unh,3/27/2014,75.7194,76.0164,74.9768,75.1996,5453852,5453852,-0.482646,-0.638,74.6905,27-Mar-14,0.149459583
unh,3/28/2014,75.5523,76.434,75.4224,75.7565,4787407,4787407,0.556895,0.741,75.8633,28-Mar-14,0.157972049
unh,3/31/2014,76.1834,76.3598,75.5616,76.0999,3513665,3513665,0.343421,0.453,76.0066,31-Mar-14,0.163221072
unh,4/1/2014,76.4341,77.0838,75.7194,75.9607,4339860,4339860,-0.139226,-0.183,76.0783,1-Apr-14,0.161093338
unh,4/2/2014,75.6822,75.8679,75.4316,75.7472,3832145,3832145,-0.213475,-0.281,75.7778,2-Apr-14,0.157829894
unh,4/3/2014,75.7843,76.4341,75.7379,76.3412,4215604,4215604,0.594023,0.784,76.1606,3-Apr-14,0.166909451
unh,4/4/2014,76.7496,76.9724,75.5233,75.673,4788119,4788119,-0.668276,-0.875,75.9921,4-Apr-14,0.156695714
unh,4/7/2014,75.6451,76.0906,74.949,75.2553,5290330,5290330,-0.417672,-0.552,75.3612,7-Apr-14,0.150310982
unh,4/8/2014,75.246,75.6915,74.355,74.8655,4048983,4048983,-0.389828,-0.518,74.8211,8-Apr-14,0.144352715
unh,4/9/2014,74.9954,75.7008,74.717,75.543,3308856,3308856,0.677558,0.905,75.2942,9-Apr-14,0.154708606
unh,4/10/2014,75.5709,76.0999,74.0487,74.2436,4850066,4850066,-1.2994,-1.72,74.4778,10-Apr-14,0.134846695
unh,4/11/2014,74.0394,74.225,73.1576,73.2783,3418743,3418743,-0.965288,-1.3,73.5982,11-Apr-14,0.120091652
unh,4/14/2014,73.7331,73.9559,72.7496,73.4918,4013706,4013706,0.213479,0.291,73.2421,14-Apr-14,0.123355095
unh,4/15/2014,73.6589,73.993,72.4522,73.7981,4719051,4719051,0.306292,0.417,73.3376,15-Apr-14,0.128037027
unh,4/16/2014,73.7795,73.8259,71.9047,72.5729,8098381,8098381,-1.2252,-1.66,72.5763,16-Apr-14,0.109309296
unh,4/17/2014,70.0205,71.1435,68.3219,70.336,13427199,13427199,-2.2369,-3.082,70.0051,17-Apr-14,0.075117278
unh,4/21/2014,70.2618,70.9857,69.4172,69.5657,6912457,6912457,-0.770376,-1.095,69.9447,21-Apr-14,0.063342897
unh,4/22/2014,69.7884,70.7166,69.5657,70.3175,6199367,6199367,0.751812,1.081,70.3069,22-Apr-14,0.074834497
unh,4/23/2014,70.3639,70.6052,69.7142,69.9184,4645725,4645725,-0.399109,-0.568,70.0833,23-Apr-14,0.068734074
unh,4/24/2014,70.6795,71.5426,70.4567,71.0878,4604993,4604993,1.1695,1.673,71.1162,24-Apr-14,0.086608877
unh,4/25/2014,71.0693,71.7376,69.8255,70.2247,5416238,5416238,-0.86319,-1.214,70.4378,25-Apr-14,0.073416007
unh,4/28/2014,70.8651,71.0786,70.0019,70.2989,5346755,5346755,0.074252,0.106,70.4473,28-Apr-14,0.074550187
unh,4/29/2014,70.4938,70.7351,69.5053,69.7977,4813169,4813169,-0.501207,-0.713,69.8057,29-Apr-14,0.066889121
unh,4/30/2014,69.8441,70.7166,69.5378,69.6492,6435883,6435883,-0.148504,-0.213,69.9009,30-Apr-14,0.064619232
unh,5/1/2014,69.6585,69.9833,68.9252,69.5657,4597953,4597953,-0.083537,-0.12,69.5328,1-May-14,0.063342897
unh,5/2/2014,69.3151,69.9184,69.1573,69.6399,3794748,3794748,0.074253,0.107,69.6652,2-May-14,0.064477077
unh,5/5/2014,69.4543,69.8998,68.9624,69.8255,4476125,4476125,0.185634,0.267,70.0139,5-May-14,0.067314056
unh,5/6/2014,69.7327,70.169,69.51,69.8534,4728216,4728216,0.027843,0.04,70.7369,6-May-14,0.06774052
unh,5/7/2014,70.1597,72.3501,69.6863,72.313,6383483,6383483,2.4596,3.521,71.3562,7-May-14,0.105336608
unh,5/8/2014,72.2295,72.4522,71.2271,71.3663,4943133,4943133,-0.946725,-1.309,71.713,8-May-14,0.090865875
unh,5/9/2014,71.3013,71.7468,71.1157,71.422,3465602,3465602,0.055689,0.078,71.4233,9-May-14,0.091717274
unh,5/12/2014,71.654,72.4151,71.5612,72.1552,3110874,3110874,0.733248,1.027,72.1813,12-May-14,0.102924565
unh,5/13/2014,72.2666,72.6007,71.9603,72.4337,3059008,3059008,0.278451,0.386,72.6584,13-May-14,0.107181562
unh,5/14/2014,72.443,72.443,71.4127,71.6262,2635300,2635300,-0.8075,-1.115,71.6742,14-May-14,0.094838563
unh,5/15/2014,71.6169,71.7654,70.7537,70.9857,3075204,3075204,-0.640432,-0.894,71.1724,15-May-14,0.085048233
unh,5/16/2014,70.8651,71.1621,70.5495,71.1435,2974554,2974554,0.157786,0.222,70.8752,16-May-14,0.087460277
unh,5/19/2014,70.9301,71.6819,70.8744,71.654,2149084,2149084,0.510489,0.718,71.4912,19-May-14,0.095263498
unh,5/20/2014,71.6447,71.8397,70.8744,71.1528,2806514,2806514,-0.501207,-0.699,71.2984,20-May-14,0.087602432
unh,5/21/2014,71.1992,72.2852,71.125,72.1367,2401209,2401209,0.983852,1.383,72,21-May-14,0.102641784
unh,5/22/2014,72.1274,72.9813,72.0531,72.7121,3147002,3147002,0.575458,0.798,72.6534,22-May-14,0.111437031
unh,5/23/2014,72.9999,73.3247,72.7327,73.1112,2251500,2251500,0.399111,0.549,73.1213,23-May-14,0.117537453
unh,5/27/2014,73.5382,73.631,73.0091,73.4268,2645515,2645515,0.315574,0.432,73.4481,27-May-14,0.122361541
unh,5/28/2014,73.2969,73.5196,72.675,72.9349,2250873,2250873,-0.491926,-0.67,72.9811,28-May-14,0.114842629
unh,5/29/2014,72.9534,73.7192,72.4708,73.6681,3526776,3526776,0.733246,1.005,73.3086,29-May-14,0.126049919
unh,5/30/2014,73.5475,74.0116,73.2133,73.9095,5139572,5139572,0.241324,0.328,73.7436,30-May-14,0.129739826
unh,6/2/2014,74.0394,74.1879,73.6217,73.7609,1986392,1986392,-0.148506,-0.201,73.8444,2-Jun-14,0.127468409
unh,6/3/2014,73.6124,74.4199,73.5846,74.1415,2841136,2841136,0.380547,0.516,74.1498,3-Jun-14,0.13328605
unh,6/4/2014,74.0023,74.7819,73.7702,74.7262,3552853,3552853,0.58474,0.789,74.4775,4-Jun-14,0.142223452
unh,6/5/2014,74.6984,74.949,73.9559,74.0672,3453679,3453679,-0.658994,-0.882,74.2504,5-Jun-14,0.132150342
