ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
utx,2/3/2014,101.5068,102.0672,97.9486,97.9931,5262874,5262874,-3.4337,-3.385,98.7105,3-Feb-14,0
utx,2/4/2014,96.4008,97.8685,95.6269,97.0502,9759578,9759578,-0.942927,-0.962,96.2919,4-Feb-14,-0.009622106
utx,2/5/2014,96.3385,96.8634,95.1821,95.9916,6870949,6870949,-1.0586,-1.091,95.7258,5-Feb-14,-0.020424907
utx,2/6/2014,96.1606,97.406,96.1606,97.3615,3717752,3717752,1.3699,1.427,97.0534,6-Feb-14,-0.006445352
utx,2/7/2014,97.8774,98.8915,97.8419,98.5001,3994927,3994927,1.1386,1.169,97.57,7-Feb-14,0.005173834
utx,2/10/2014,98.3756,99.3452,98.1443,99.274,4095153,4095153,0.773909,0.786,98.8008,10-Feb-14,0.013071328
utx,2/11/2014,99.4075,100.6973,99.0872,100.4838,3364845,3364845,1.2098,1.219,100.1231,11-Feb-14,0.025417096
utx,2/12/2014,100.6269,100.922,100.1261,100.8504,3006306,3006306,0.366622,0.365,100.6459,12-Feb-14,0.029158175
utx,2/13/2014,100.3139,101.5658,99.8757,101.3154,2520904,2520904,0.464996,0.461,100.9808,13-Feb-14,0.033903407
utx,2/14/2014,101.2797,102.0666,100.4838,101.8252,3477828,3477828,0.509707,0.503,101.4143,14-Feb-14,0.039105815
utx,2/18/2014,101.9414,102.0398,101.013,101.7089,2392878,2392878,-0.116251,-0.114,101.6825,18-Feb-14,0.037918996
utx,2/19/2014,101.4406,103.086,101.4138,101.9772,4196321,4196321,0.268269,0.264,102.1912,19-Feb-14,0.040656944
utx,2/20/2014,102.2633,103.1933,101.4675,102.8803,3096784,3096784,0.903164,0.886,102.672,20-Feb-14,0.049872899
utx,2/21/2014,103.0949,103.8014,102.5852,103.1754,3659997,3659997,0.295096,0.287,103.3828,21-Feb-14,0.052884336
utx,2/24/2014,103.5242,105.1427,103.1053,104.168,3339552,3339552,0.992587,0.962,104.5068,24-Feb-14,0.06301362
utx,2/25/2014,103.7746,104.329,103.3364,103.6315,2569549,2569549,-0.536535,-0.515,103.7279,25-Feb-14,0.057538745
utx,2/26/2014,103.6315,104.4363,103.3811,103.8282,2951630,2951630,0.196726,0.19,103.8905,26-Feb-14,0.059546029
utx,2/27/2014,103.8461,104.2932,103.4169,104.2753,2147123,2147123,0.447114,0.431,103.942,27-Feb-14,0.064108595
utx,2/28/2014,104.5525,105.4333,103.9087,104.642,3272406,3272406,0.366631,0.352,104.7544,28-Feb-14,0.067850696
utx,3/3/2014,103.3722,104.7135,103.2336,104.4095,3125551,3125551,-0.232495,-0.222,103.8276,3-Mar-14,0.06547808
utx,3/4/2014,105.3394,105.6703,104.7582,105.1517,3217568,3217568,0.742203,0.711,105.2182,4-Mar-14,0.073052082
utx,3/5/2014,105.6614,105.8939,104.9192,104.9907,2487362,2487362,-0.160962,-0.153,106.2508,5-Mar-14,0.071409109
utx,3/6/2014,105.5898,105.6971,104.8566,105.3037,1787080,1787080,0.312981,0.298,105.2196,6-Mar-14,0.074603212
utx,3/7/2014,105.7329,105.876,105.1588,105.7955,2912924,2912924,0.491821,0.467,105.5875,7-Mar-14,0.079621933
utx,3/10/2014,105.6971,105.876,104.5346,105.3126,2474285,2474285,-0.482882,-0.456,105.1557,10-Mar-14,0.074694035
utx,3/11/2014,105.3305,105.3573,103.2827,103.4079,3351510,3351510,-1.9047,-1.809,103.9379,11-Mar-14,0.055256952
utx,3/12/2014,103.2023,103.5778,102.3966,103.5599,3184200,3184200,0.152018,0.147,103.1598,12-Mar-14,0.056808081
utx,3/13/2014,103.7477,104.177,100.4391,100.9488,5926397,5926397,-2.6111,-2.521,97.8829,13-Mar-14,0.030162328
utx,3/14/2014,101.0829,102.2633,100.5285,100.6895,4213789,4213789,-0.259323,-0.257,101.2683,14-Mar-14,0.027516223
