ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
v,2/3/2014,52.2958,52.6159,51.2234,51.5616,21743148,5435787,-0.47342,-0.91,51.5629,3-Feb-14,0
v,2/4/2014,51.7282,52.1437,51.0567,51.82,14915444,3728861,0.258445,0.501,51.4008,4-Feb-14,0.005011481
v,2/5/2014,51.506,52.3514,51.4773,52.0785,13523608,3380902,0.258452,0.499,51.7692,5-Feb-14,0.010024902
v,2/6/2014,52.192,52.8997,52.1195,52.8997,12728848,3182212,0.821235,1.577,52.6547,6-Feb-14,0.025951483
v,2/7/2014,53.1847,53.6219,52.7668,53.5688,12580416,3145104,0.669065,1.265,52.813,7-Feb-14,0.038928195
v,2/10/2014,53.5953,53.6533,53.1364,53.2717,10318436,2579609,-0.297095,-0.555,53.3313,10-Feb-14,0.033166155
v,2/11/2014,53.4118,53.8369,53.1509,53.7016,9817868,2454467,0.429941,0.807,53.6009,11-Feb-14,0.041503755
v,2/12/2014,54.067,54.4203,53.9339,54.2436,14656320,3664080,0.542022,1.009,54.1659,12-Feb-14,0.052015453
v,2/13/2014,53.9242,54.384,53.8299,54.2146,13158980,3289745,-0.029039,-0.054,54.2079,13-Feb-14,0.051453019
v,2/14/2014,54.2678,54.7445,54.0839,54.6864,12745548,3186387,0.471853,0.87,54.5648,14-Feb-14,0.06060324
v,2/18/2014,54.8026,55.2865,54.5945,54.7009,13428924,3357231,0.014517,0.027,54.8426,18-Feb-14,0.060884457
v,2/19/2014,54.655,55.1196,54.125,54.1734,9342232,2335558,-0.527506,-0.964,54.5404,19-Feb-14,0.050653975
v,2/20/2014,54.2412,54.4372,53.8613,54.0718,8810584,2202646,-0.101632,-0.188,54.0601,20-Feb-14,0.048683516
v,2/21/2014,54.1371,54.3646,53.9557,54.0476,9137596,2284399,-0.024195,-0.045,54.1305,21-Feb-14,0.048214175
v,2/24/2014,54.1371,55.0325,54.073,54.7324,10879264,2719816,0.68479,1.267,54.7486,24-Feb-14,0.061495376
v,2/25/2014,54.7324,55.2744,54.5633,54.955,11341748,2835437,0.222618,0.407,54.9882,25-Feb-14,0.065812543
v,2/26/2014,54.9841,55.1462,54.5074,54.713,10413568,2603392,-0.241976,-0.44,54.8001,26-Feb-14,0.061119127
v,2/27/2014,54.7324,55.122,54.5896,54.7542,8106904,2026726,0.041136,0.075,54.8072,27-Feb-14,0.061918172
v,2/28/2014,54.8002,55.168,53.404,54.6719,14006976,3501744,-0.082273,-0.15,54.7649,28-Feb-14,0.060322023
v,3/3/2014,54.0186,54.2122,53.1354,53.583,16422960,4105740,-1.0889,-1.992,53.5735,3-Mar-14,0.039203593
v,3/4/2014,54.4808,54.6792,53.8589,54.5654,14939076,3734769,0.982419,1.833,54.3764,4-Mar-14,0.058256532
v,3/5/2014,54.5945,54.638,53.7911,53.9145,11329892,2832473,-0.650912,-1.193,54.0545,5-Mar-14,0.045632796
v,3/6/2014,54.1444,54.7034,54.0379,54.1686,9125960,2281490,0.254075,0.471,54.3758,6-Mar-14,0.050560883
v,3/7/2014,54.4324,54.6211,54.0912,54.58,8971584,2242896,0.411358,0.759,54.4772,7-Mar-14,0.058539688
v,3/10/2014,54.5679,54.776,54.3767,54.5654,7355232,1838808,-0.014521,-0.027,54.5638,10-Mar-14,0.058256532
v,3/11/2014,54.6743,55.2648,54.3549,54.972,11065384,2766346,0.406521,0.745,54.9118,11-Mar-14,0.066142245
v,3/12/2014,54.7155,55.0929,54.5146,54.7106,9400596,2350149,-0.261337,-0.475,54.7401,12-Mar-14,0.061072581
v,3/13/2014,54.8461,55.047,53.3386,53.4233,11996536,2999134,-1.2873,-2.353,51.2648,13-Mar-14,0.036106327
v,3/14/2014,53.3846,53.6994,52.8861,53.4209,13696284,3424071,-0.002418,-0.005,53.4137,14-Mar-14,0.036059781
v,3/17/2014,53.7161,54.1734,53.5685,54.1492,8809800,2202450,0.728346,1.363,54.0025,17-Mar-14,0.050184634
v,3/18/2014,54.3477,54.8728,54.021,54.7856,8304828,2076207,0.636395,1.175,54.6292,18-Mar-14,0.062527152
v,3/19/2014,54.834,54.9502,53.7185,54.1589,7888832,1972208,-0.626718,-1.144,53.9266,19-Mar-14,0.050372758
v,3/20/2014,54.2315,54.2315,53.4548,53.675,11890688,2972672,-0.483951,-0.894,53.7901,20-Mar-14,0.040987867
v,3/21/2014,53.9532,56.3004,53.162,54.05,38097696,9524424,0.375062,0.699,53.9513,21-Mar-14,0.048260721
v,3/24/2014,54.5388,54.7421,53.0168,53.4161,18236012,4559003,-0.633976,-1.173,53.5076,24-Mar-14,0.035966688
v,3/25/2014,53.7645,53.9702,52.8474,52.8474,11678368,2919592,-0.568643,-1.065,53.214,25-Mar-14,0.024937163
v,3/26/2014,53.2225,53.2806,52.1892,52.1892,10667356,2666839,-0.658172,-1.245,52.5823,26-Mar-14,0.012171849
v,3/27/2014,51.9981,52.3078,51.5529,52.211,10523928,2630982,0.021778,0.042,51.333,27-Mar-14,0.012594644
v,3/28/2014,51.8989,52.349,50.9407,51.3206,14949844,3737461,-0.89047,-1.706,51.6107,28-Mar-14,-0.004674021
v,3/31/2014,51.4899,52.2328,51.2192,52.2328,11639284,2909821,0.91225,1.778,51.9822,31-Mar-14,0.013017439
v,4/1/2014,52.528,52.789,51.9158,51.9521,9092024,2273006,-0.280693,-0.537,52.2223,1-Apr-14,0.007573466
v,4/2/2014,51.9715,52.3877,51.6303,51.9424,9342376,2335594,-0.009678,-0.019,51.944,2-Apr-14,0.007385341
v,4/3/2014,52.2159,52.3344,51.6327,52.0271,14227788,3556947,0.084688,0.163,51.9445,3-Apr-14,0.009028036
v,4/4/2014,52.1626,52.1965,49.7864,50.2583,24484052,6121013,-1.7688,-3.4,50.6129,4-Apr-14,-0.025276562
v,4/7/2014,50.0357,50.1954,48.6421,49.2202,40159600,10039900,-1.0381,-2.065,49.2148,7-Apr-14,-0.045409762
v,4/8/2014,49.0774,49.8276,48.879,49.0218,21756416,5439104,-0.198421,-0.403,49.3109,8-Apr-14,-0.049257587
v,4/9/2014,49.5033,50.2776,49.029,50.2196,19166028,4791507,1.1978,2.443,49.7903,9-Apr-14,-0.026027121
v,4/10/2014,50.3938,50.5898,48.4314,48.7701,20432336,5108084,-1.4494,-2.886,48.8126,10-Apr-14,-0.054139127
v,4/11/2014,48.2088,48.3951,47.1465,47.5796,29940648,7485162,-1.1905,-2.441,47.7329,11-Apr-14,-0.077228015
v,4/14/2014,48.3467,48.8669,47.9135,48.6395,20953096,5238274,1.0599,2.228,48.4622,14-Apr-14,-0.056672019
v,4/15/2014,49.3243,49.5904,48.1942,49.3751,19233132,4808283,0.735601,1.512,49.0338,15-Apr-14,-0.042405589
v,4/16/2014,50.0889,50.7084,49.7211,50.66,15832712,3958178,1.2849,2.602,50.333,16-Apr-14,-0.017485881
v,4/17/2014,50.8971,51.1875,50.3188,50.3188,13379428,3344857,-0.341185,-0.673,50.6822,17-Apr-14,-0.024103209
v,4/21/2014,50.568,50.6938,50.4252,50.6043,10024080,2506020,0.285532,0.567,50.562,21-Apr-14,-0.018566142
v,4/22/2014,50.6551,50.9552,50.4591,50.8076,9840268,2460067,0.203259,0.402,50.8292,22-Apr-14,-0.014623286
v,4/23/2014,50.8874,50.8874,50.3309,50.5293,8823036,2205759,-0.27827,-0.548,50.5306,23-Apr-14,-0.020020713
v,4/24/2014,50.7664,50.9358,50.2317,50.6696,13547036,3386759,0.140345,0.278,50.4981,24-Apr-14,-0.017299696
v,4/25/2014,48.3951,49.3146,48.0466,48.1362,38252420,9563105,-2.5335,-5,48.5742,25-Apr-14,-0.06643316
v,4/28/2014,48.2741,48.8621,48.1555,48.7387,24263088,6065772,0.602518,1.252,48.5124,28-Apr-14,-0.054748107
v,4/29/2014,48.8524,49.3751,48.8282,49.0411,12761224,3190306,0.30247,0.621,49.1187,29-Apr-14,-0.048883277
v,4/30/2014,48.9419,49.2759,48.8548,49.0266,12146640,3036660,-0.014519,-0.03,49.3358,30-Apr-14,-0.049164495
v,5/1/2014,49.3872,50.1639,49.2081,49.8687,14273132,3568283,0.842075,1.718,49.8473,1-May-14,-0.032832573
v,5/2/2014,49.784,50.1131,49.363,49.4646,10909288,2727322,-0.404099,-0.81,49.5725,2-May-14,-0.040669801
v,5/5/2014,49.3025,50.3018,49.121,50.1204,13794736,3448684,0.655751,1.326,49.8717,5-May-14,-0.027951033
