ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
vz,2/3/2014,37.566,38.2,36.7681,36.9192,36182536,36182536,-1.2808,-3.353,36.9193,3-Feb-14,0
vz,2/4/2014,36.8238,37.2533,36.6806,37.2454,22727152,22727152,0.326157,0.883,36.7675,4-Feb-14,0.008835511
vz,2/5/2014,37.1738,37.305,36.8397,37.142,19737272,19737272,-0.103416,-0.278,36.9306,5-Feb-14,0.0060348
vz,2/6/2014,37.0863,37.2891,36.8954,37.134,17564583,17564583,-0.007957,-0.021,37.0979,6-Feb-14,0.005818111
vz,2/7/2014,37.3011,37.3727,37.0545,37.2374,13528174,13528174,0.103416,0.278,36.7496,7-Feb-14,0.008618822
vz,2/10/2014,37.2374,37.3448,36.7389,37.317,12412630,12412630,0.079551,0.214,37.2685,10-Feb-14,0.010774881
vz,2/11/2014,37.4204,37.6829,37.317,37.5556,16249831,16249831,0.238651,0.64,37.5129,11-Feb-14,0.017237643
vz,2/12/2014,37.7386,37.7386,37.4363,37.6829,23460865,23460865,0.12728,0.339,37.6528,12-Feb-14,0.020685714
vz,2/13/2014,37.5795,37.7545,37.3886,37.6352,18863830,18863830,-0.047728,-0.127,37.5983,13-Feb-14,0.019393703
vz,2/14/2014,37.4999,37.4999,36.9272,36.9988,26399037,26399037,-0.636405,-1.691,37.0785,14-Feb-14,0.00215606
vz,2/18/2014,36.9669,36.9908,36.1555,36.5771,34926654,34926654,-0.421616,-1.14,36.6591,18-Feb-14,-0.009266181
vz,2/19/2014,36.3862,37.2613,36.243,37.0147,34111008,34111008,0.437526,1.196,36.7683,19-Feb-14,0.00258673
vz,2/20/2014,37.2374,38.4545,37.1897,38.2795,48976883,48976883,1.2648,3.417,38.1724,20-Feb-14,0.036845327
vz,2/21/2014,37.826,38.3829,37.5318,37.6033,60839123,60839123,-0.676176,-1.766,37.8751,21-Feb-14,0.018529654
vz,2/24/2014,37.4045,37.5477,36.776,36.776,618237630,618237630,-0.827322,-2.2,37.1176,24-Feb-14,-0.003878741
vz,2/25/2014,36.9272,37.1976,36.7442,36.8238,146504915,146504915,0.047731,0.13,36.9069,25-Feb-14,-0.002584021
vz,2/26/2014,36.6647,36.9908,36.5016,36.8715,102723889,102723889,0.047729,0.13,36.7787,26-Feb-14,-0.001292011
vz,2/27/2014,36.8635,38.0091,36.8158,37.7863,139461810,139461810,0.914829,2.481,37.4628,27-Feb-14,0.023486424
vz,2/28/2014,37.7465,37.9931,37.5556,37.85,62319916,62319916,0.063638,0.168,37.7901,28-Feb-14,0.025211814
