ticker,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
wba,2/3/2014,53.016,53.127,51.1896,51.3884,10043202,10043202,-1.6461,-3.104,51.5362,3-Feb-14,0
wba,2/4/2014,51.7029,51.8138,51.1457,51.7398,6697945,6697945,0.351409,0.684,51.2187,4-Feb-14,0.006838119
wba,2/5/2014,51.3514,53.5708,51.111,53.4969,8113915,8113915,1.757,3.396,52.7047,5-Feb-14,0.041030661
wba,2/6/2014,53.6171,54.8285,53.5431,54.7638,6601279,6601279,1.2669,2.368,54.4405,6-Feb-14,0.065684084
wba,2/7/2014,55.0597,56.3728,54.9256,56.3728,9143520,9143520,1.6091,2.938,55.184,7-Feb-14,0.096994652
wba,2/10/2014,56.1879,56.3451,55.6146,56.0862,5031445,5031445,-0.286674,-0.509,56.0699,10-Feb-14,0.091417518
wba,2/11/2014,56.4283,59.8407,56.4098,59.369,16113817,16113817,3.2829,5.853,58.4298,11-Feb-14,0.15529964
wba,2/12/2014,59.2766,61.9583,58.472,60.4972,24542638,24542638,1.1282,1.9,60.2989,12-Feb-14,0.177254011
wba,2/13/2014,59.628,62.1063,59.517,61.3942,11104675,11104675,0.897006,1.483,61.259,13-Feb-14,0.194709312
wba,2/14/2014,61.1168,61.7873,59.7204,59.9054,8268436,8268436,-1.4888,-2.425,60.5893,14-Feb-14,0.165737793
wba,2/18/2014,59.9794,60.4325,59.4153,59.6835,7719625,7719625,-0.221941,-0.37,59.8363,18-Feb-14,0.161419698
wba,2/19/2014,59.8592,61.0613,59.4245,60.5805,5810151,5810151,0.897008,1.503,60.651,19-Feb-14,0.178874999
wba,2/20/2014,60.562,62.1803,60.5065,61.5422,6331631,6331631,0.961742,1.588,61.8331,20-Feb-14,0.197589339
wba,2/21/2014,61.5977,61.7272,60.8301,61.3295,3869330,3869330,-0.212695,-0.346,61.3747,21-Feb-14,0.193450273
wba,2/24/2014,61.459,62.1895,61.4127,61.5145,4783813,4783813,0.184953,0.302,61.6787,24-Feb-14,0.197050307
wba,2/25/2014,61.5237,63.105,61.0058,61.9121,7117493,7117493,0.397642,0.646,62.1421,25-Feb-14,0.204787462
wba,2/26/2014,61.8289,62.4115,61.0521,61.5052,5148363,5148363,-0.40689,-0.657,61.5166,26-Feb-14,0.196869332
wba,2/27/2014,61.3665,63.3455,61.3665,63.0588,6981220,6981220,1.5536,2.526,62.7015,27-Feb-14,0.227101836
wba,2/28/2014,63.0311,64.5846,62.1988,62.8369,5563585,5563585,-0.221939,-0.352,62.9028,28-Feb-14,0.222783741
wba,3/3/2014,62.5132,63.068,61.4127,62.3282,7405787,7405787,-0.508612,-0.809,62.1191,3-Mar-14,0.21288462
wba,3/4/2014,63.2992,64.224,63.253,63.8911,7256101,7256101,1.5628,2.507,63.8465,4-Mar-14,0.243298098
wba,3/5/2014,63.9743,63.9743,62.8461,63.327,4508419,4508419,-0.564097,-0.883,63.5755,5-Mar-14,0.232320913
wba,3/6/2014,63.6784,63.7339,61.6254,61.6902,6453227,6453227,-1.6368,-2.585,63.124,6-Mar-14,0.200469367
wba,3/7/2014,61.7826,62.5687,61.5884,62.1525,5941549,5941549,0.462375,0.75,62.0711,7-Mar-14,0.20946556
wba,3/10/2014,61.9583,62.1803,61.5237,61.7549,4176870,4176870,-0.397644,-0.64,61.8489,10-Mar-14,0.201728406
wba,3/11/2014,61.9121,62.1433,61.2833,61.5145,3309386,3309386,-0.240434,-0.389,61.6648,11-Mar-14,0.197050307
wba,3/12/2014,62.6427,63.5027,61.7272,61.8936,8244440,8244440,0.379147,0.616,62.1088,12-Mar-14,0.204427458
wba,3/13/2014,62.1063,62.9571,61.5607,61.8936,4709829,4709829,0,0,61.9571,13-Mar-14,0.204427458
wba,3/14/2014,61.7641,62.4485,61.6624,62.0231,4320033,4320033,0.129465,0.209,62.1307,14-Mar-14,0.206947482
wba,3/17/2014,62.2543,62.7074,61.8566,62.2728,2991165,2991165,0.249683,0.403,62.1968,17-Mar-14,0.211806556
wba,3/18/2014,62.1895,62.3282,61.7272,62.1433,4698012,4698012,-0.129466,-0.208,62.098,18-Mar-14,0.209286532
wba,3/19/2014,62.1156,62.328,61.3434,61.8011,6265070,6265070,-0.342156,-0.551,60.8928,19-Mar-14,0.202627441
wba,3/20/2014,61.5977,61.8289,61.2278,61.496,3666386,3666386,-0.305169,-0.494,61.5267,20-Mar-14,0.196690304
wba,3/21/2014,61.8196,61.9861,59.6557,59.8777,11839972,11839972,-1.6183,-2.632,55.7011,21-Mar-14,0.165198761
wba,3/24/2014,60.2383,60.4972,58.3241,59.4708,8470845,8470845,-0.406892,-0.68,59.1988,24-Mar-14,0.157280631
wba,3/25/2014,60.9689,63.0218,60.6267,61.422,12820590,12820590,1.9512,3.281,61.5831,25-Mar-14,0.19525029
wba,3/26/2014,61.1353,61.6162,59.1102,60.0441,10607661,10607661,-1.3779,-2.243,60.0219,26-Mar-14,0.168436846
wba,3/27/2014,59.9331,60.2753,59.1009,59.5078,6118154,6118154,-0.536355,-0.893,59.0104,27-Mar-14,0.158000638
wba,3/28/2014,59.628,60.7377,59.5725,60.4417,5210436,5210436,0.933995,1.57,60.3755,28-Mar-14,0.176174
wba,3/31/2014,60.8209,61.6254,60.562,61.0613,4845185,4845185,0.619584,1.025,61.1601,31-Mar-14,0.188231196
wba,4/1/2014,60.6729,61.2,60.1088,60.8764,4662411,4662411,-0.18495,-0.303,60.7415,1-Apr-14,0.184633108
wba,4/2/2014,60.6822,61.4821,60.488,61.3573,3936139,3936139,0.480871,0.79,61.1013,2-Apr-14,0.193991251
wba,4/3/2014,61.3018,62.134,61.0428,62.0416,5296539,5296539,0.684316,1.115,61.9211,3-Apr-14,0.207307486
wba,4/4/2014,62.208,62.5779,60.7839,61.0798,5943151,5943151,-0.961741,-1.55,61.5162,4-Apr-14,0.1885912
wba,4/7/2014,60.9874,61.1446,59.7297,60.2013,7528436,7528436,-0.878512,-1.438,60.3633,7-Apr-14,0.171495902
wba,4/8/2014,59.9424,60.2938,58.4998,59.0176,7928365,7928365,-1.1837,-1.966,59.0581,8-Apr-14,0.14846152
wba,4/9/2014,59.1563,60.9411,58.7448,60.5897,9828887,9828887,1.5721,2.664,59.9967,9-Apr-14,0.179054028
wba,4/10/2014,61.0243,61.8381,58.3287,58.6292,9941994,9941994,-1.9605,-3.236,59.5029,10-Apr-14,0.140903395
wba,4/11/2014,58.5368,59.9794,58.0744,59.4245,8314117,8314117,0.795283,1.356,59.5046,11-Apr-14,0.15637965
wba,4/14/2014,60.1643,61.2463,60.0534,60.7284,9758523,9758523,1.3039,2.194,60.7243,14-Apr-14,0.18175308
wba,4/15/2014,60.7192,61.0983,59.1841,61.0428,8274046,8274046,0.314416,0.518,60.2501,15-Apr-14,0.187871193
wba,4/16/2014,61.3573,61.6069,60.8117,61.1816,5529319,5529319,0.138713,0.227,61.198,16-Apr-14,0.190572191
wba,4/17/2014,61.0243,62.0601,60.6544,61.7272,6221164,6221164,0.545602,0.892,61.5278,17-Apr-14,0.201189373
wba,4/21/2014,61.3665,61.5884,60.8107,61.1538,4814521,4814521,-0.573346,-0.929,61.2544,21-Apr-14,0.190031213
wba,4/22/2014,61.2,62.9941,61.0798,62.3098,7208494,7208494,1.1559,1.89,62.2572,22-Apr-14,0.212526562
wba,4/23/2014,62.4577,63.1698,62.1618,62.319,5740868,5740868,0.009248,0.015,62.5228,23-Apr-14,0.212705591
wba,4/24/2014,62.4392,62.8738,61.8196,62.3467,3455308,3455308,0.027741,0.045,62.2657,24-Apr-14,0.213244623
wba,4/25/2014,62.2635,62.4032,61.3203,61.6347,5377970,5377970,-0.712059,-1.142,61.6481,25-Apr-14,0.199389356
wba,4/28/2014,62.0786,62.9941,61.6624,62.3745,5342746,5342746,0.739802,1.2,62.2699,28-Apr-14,0.213785601
wba,4/29/2014,62.6427,62.9108,61.5515,62.2543,4017196,4017196,-0.120218,-0.193,62.1116,29-Apr-14,0.211446552
wba,4/30/2014,62.1433,62.8369,61.3758,62.7906,5886502,5886502,0.536354,0.862,62.1825,30-Apr-14,0.22188276
wba,5/1/2014,62.9108,64.7973,62.6519,64.2055,7858979,7858979,1.4149,2.253,64.2483,1-May-14,0.249416211
wba,5/2/2014,64.2055,64.5474,63.4749,63.6784,4238355,4238355,-0.527108,-0.821,63.8112,2-May-14,0.239159032
wba,5/5/2014,63.5304,64.7326,63.4379,64.5939,4172777,4172777,0.915504,1.438,64.4886,5-May-14,0.256974337
wba,5/6/2014,64.224,64.5384,63.5674,63.6044,3863749,3863749,-0.989484,-1.532,64.803,6-May-14,0.237719018
wba,5/7/2014,63.9466,64.7049,62.9293,64.6124,4197927,4197927,1.008,1.585,64.0798,7-May-14,0.25733434
wba,5/8/2014,64.1315,65.6758,63.253,63.5212,7113381,7113381,-1.0912,-1.689,64.5724,8-May-14,0.236099976
wba,5/9/2014,63.5304,63.6414,62.9016,63.4934,5083448,5083448,-0.027744,-0.044,63.2727,9-May-14,0.235558998
wba,5/12/2014,63.9558,64.4228,63.8171,64.1315,4067933,4067933,0.63808,1.005,64.1508,12-May-14,0.247976197
wba,5/13/2014,64.3904,64.4367,63.7339,64.335,2993392,2993392,0.203443,0.317,64.1288,13-May-14,0.251936235
wba,5/14/2014,64.0113,64.1777,63.253,63.4472,3316265,3316265,-0.887759,-1.38,63.4879,14-May-14,0.234659962
wba,5/15/2014,63.5952,63.5952,62.4207,62.9848,5399450,5399450,-0.462374,-0.729,62.9166,15-May-14,0.225661823
wba,5/16/2014,62.8831,63.4287,62.4855,62.6704,4726549,4726549,-0.314417,-0.499,62.7615,16-May-14,0.21954371
wba,5/19/2014,62.8091,65.1302,62.7999,64.3072,8322753,8322753,1.6368,2.612,64.2396,19-May-14,0.251395257
wba,5/20/2014,63.9558,64.2702,63.5212,63.6969,3525986,3525986,-0.610338,-0.949,63.9449,20-May-14,0.239519035
wba,5/21/2014,63.9188,64.1685,63.4934,63.6691,2177490,2177490,-0.027743,-0.044,63.7307,21-May-14,0.238978057
wba,5/22/2014,63.6414,64.6494,63.1143,64.5754,9353221,9353221,0.906257,1.423,64.1801,22-May-14,0.256614333
wba,5/23/2014,64.6124,65.1025,64.4922,64.5384,4880210,4880210,-0.036992,-0.057,64.7817,23-May-14,0.255894326
wba,5/27/2014,64.7141,65.3152,64.6041,64.9545,3800533,3800533,0.41614,0.645,64.9658,27-May-14,0.263991484
